mz_rt,pre,post,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1122.0248_4.125,694.3278177272728,22374.650581818183,32.22490876868021,1.07e-8,5.010104369093871,7.97061622231479,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1
1122.0249_4.032,851.9500031818181,21166.980490909093,24.845331782212295,1.51e-7,4.634902902517237,6.82102305270683,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1
194.0458_3.657,17814.721327272728,41930.102636363634,2.3536771564409733,0.0141,1.2349164458038906,1.85078088734462,194.0458,3.657,13268.275000000001,194.0458_3.657,194.0458_3.657,1
199.0068_4.328,44838.99845454546,70066.71381818182,1.5626288773869559,0.0148,0.6439751805584295,1.8297382846050425,199.0068,4.328,30964.303,199.0068_4.328,199.0068_4.328,1
201.0227_4.086,3629.8155181818183,350758.40763636364,96.63257151208037,4.55e-8,6.594437648737017,7.341988603342887,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2
201.0228_4.555,9223.499145454545,1531222.0781818181,166.01314252155848,2.66e-8,7.375153647612842,7.575118363368933,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4
215.0021_3.307,10573.490209090909,38825.228727272726,3.671940670441199,2.86e-5,1.8765427485252082,4.543633966870957,215.0021,3.307,18056.441,215.0021_3.307,215.0021_3.307,1
217.0172_4.4,13060.870872727271,65331.618,5.0020874286737325,1.7e-4,2.3225302737947158,3.769551078621726,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1
217.0173_3.88,12700.474463636363,29268.181727272728,2.3044951439469883,0.00433,1.2044507276177254,2.3635121036466344,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1
232.9759_0.708,27973.44027272727,44853.782181818184,1.603441755626619,0.0043,0.6811719494173674,2.3665315444204134,232.9759,0.708,37385.9745,232.9759_0.708,232.9759_0.708,1
253.0503_5.048,1390.7552927272727,30829.367854545453,22.16735612351259,4.28e-5,4.470364806682468,4.368556230986828,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1
255.0674_5.078,985.6614895454545,11890.288245454545,12.063257387622848,0.00431,3.592547619242384,2.3655227298392685,255.0674,5.078,1161.1671999999999,255.0674_5.078,255.0674_5.078,1
257.0816_6.056,621.7162863636364,11708.986918181818,18.83332828011736,6.85e-5,4.235216074601079,4.164309428507575,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1
295.0806_3.721,3263.7214999999997,6857.608818181818,2.101162374970358,0.014,1.0711876558294804,1.853871964321762,295.0806,3.721,2530.0080500000004,295.0806_3.721,295.0806_3.721,1
295.0815_4.242,5949.874436363636,15799.72600909091,2.655472174761922,0.00144,1.4089684122990092,2.8416375079047502,295.0815,4.242,3948.1325500000003,295.0815_4.242,295.0815_4.242,1
297.0975_4.072,2711.3741090909093,118358.52990909091,43.65260017503637,1.95e-7,5.447995685692959,6.709965388637482,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1
297.0975_4.498,2173.6373727272726,255732.28781818182,117.65177164639627,3.03e-8,6.878379235166734,7.518557371497695,297.0975,4.498,3050.3737499999997,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3
333.0047_4.33,3275.8730636363634,80856.93927272728,24.682561778804857,8.12e-6,4.625420233044704,5.090443970758825,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1
333.0066_3.893,1846.3364363636363,30310.47480909091,16.416550208361514,2.56e-5,4.037079084354596,4.591760034688151,333.0066,3.893,1989.0055499999999,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2
335.0244_4.36,2229.694190909091,52490.95472727273,23.541773101122498,2.48e-6,4.557151079149089,5.605548319173784,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1
363.021_3.933,1749.4485590909092,13203.907545454545,7.547468301849286,0.00106,2.9159927926649196,2.9746941347352296,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1
363.0234_4.453,5606.315663636364,33400.38500909091,5.957635462043673,0.00756,2.5747398501414067,2.1214782044987937,363.0234,4.453,6724.134050000001,363.0234_4.453,363.0234_4.453,1
365.0863_4.095,1468.1123545454545,22118.08490909091,15.065662270745579,2.93e-6,3.913192188577765,5.533132379645891,365.0863,4.095,1797.8510500000002,365.0863_4.095,365.0863_4.095,1
366.0851_4.55,2387.532831818182,8744.158454545455,3.662424381358769,0.00104,1.872798972295311,2.9829666607012197,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1
393.0495_3.605,2688.786390909091,14338.742,5.332793281191819,4.49e-5,2.4148914049045302,4.347753658996677,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1
429.0815_4.032,2322.39732,43509.88145454546,18.734899958696758,9.46e-7,4.227656368819272,6.024108863598207,429.0815,4.032,1794.5068999999999,429.0815_4.032,429.0815_4.032,1
429.082_3.756,2607.140201818182,60152.38881818182,23.072172634303445,5.58e-7,4.5280819593829005,6.253365801062421,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1
429.083_3.201,1798.5693318181818,24024.318418181818,13.35746028422242,1.13e-6,3.739573822484843,5.94692155651658,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2
431.0979_3.907,2072.291601818182,47552.15663636364,22.946653161477105,9.66e-7,4.520211842450377,6.015022873584507,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1
433.0646_4.045,2264.020565,6336.337463636363,2.798710206784877,0.00117,1.4847621103910473,2.9318141382538383,433.0646,4.045,1691.06155,433.0646_4.045,433.0646_4.045,1
433.1136_4.519,15819.245190909092,61103.24563636364,3.862589200619893,7.51e-4,1.9495682502483418,3.1243600629958315,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1
433.113_4.886,2399.593929090909,161260.54281818183,67.20326337851492,7.6e-7,6.070459386606976,6.119186407719209,433.113,4.886,1617.15355,Cluster_433.113_4.886,433.113_4.886;553.0631_4.891,2
437.0526_5.832,1416.21182,7456.317581818182,5.2649734146535945,0.0284,2.396426246418275,1.5466816599529623,437.0526,5.832,1563.2105999999999,437.0526_5.832,437.0526_5.832,1
445.0782_4.484,3033.9507272727274,28329.407363636365,9.337464550422075,2.34e-5,3.223030860736964,4.6307841425898575,445.0782,4.484,4053.7058,445.0782_4.484,445.0782_4.484,1
447.0919_4.504,10829.257363636363,16818.336854545454,1.55304618680685,0.0177,0.6351007353828858,1.7520267336381934,447.0919,4.504,7327.2997,447.0919_4.504,447.0919_4.504,1
447.0921_4.067,7370.3609636363635,12062.162790909091,1.6365769397755388,0.016,0.7106814288558573,1.7958800173440752,447.0921,4.067,6185.180200000001,447.0921_4.067,447.0921_4.067,1
447.0928_3.777,1912.7230909090908,8585.048945454546,4.488390915683561,1.59e-4,2.1661983327109295,3.7986028756795487,447.0928,3.777,2274.9899,447.0928_3.777,447.0928_3.777,1
447.092_4.187,6893.259545454545,22911.460772727274,3.3237484562488615,0.0082,1.7328112020076878,2.0861861476162833,447.092,4.187,6378.7322,447.092_4.187,447.092_4.187,1
449.1074_4.301,2005.6191636363635,8703.808854545454,4.339711652318222,1.94e-4,2.117599187464566,3.712198270069774,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1
459.0843_2.964,10190.964618181819,15470.7582,1.5180857533739682,0.0348,0.6022532877712148,1.458420756053419,459.0843,2.964,10385.3765,459.0843_2.964,459.0843_2.964,1
459.093_3.801,1619.0868090909091,27824.000636363635,17.184996184353054,1.91e-8,4.103077626270803,7.718966632752273,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1
493.1666_4.573,2934.568818181818,14644.611636363636,4.990379351688556,6.98e-4,2.319149488507984,3.156144577376839,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1
495.2232_5.846,12949.386163636364,19739.123245454546,1.5243288752083621,0.00455,0.6081741990551267,2.3419886033428874,495.2232,5.846,12269.7785,495.2232_5.846,495.2232_5.846,1
497.0695_3.785,1456.3950545454545,13430.849863636364,9.221982608165456,1.81e-5,3.2050769449585688,4.7423214251308154,497.0695,3.785,1810.0136499999999,497.0695_3.785,497.0695_3.785,1
509.0384_0.699,1463.62582,12390.130245454546,8.465367361074941,7.15e-6,3.081572676331337,5.145693958198919,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1
509.0409_3.291,1970.1409363636365,19770.69381818182,10.035167257969542,9.11e-8,3.326992757450601,7.040481623027001,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2
521.1082_4.508,1221.1466604545456,12522.355854545454,10.254587970526224,1.05e-4,3.358197620364755,3.9788107009300617,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1
525.0334_3.606,1362.50862,13955.898863636363,10.242796749158448,1.02e-6,3.3565377853465432,5.991399828238082,525.0334,3.606,1621.1766499999999,525.0334_3.606,525.0334_3.606,1
591.3184_5.021,3161.5080168181817,5116.236765454545,1.6182899863729112,0.0192,0.6944701519063983,1.7166987712964503,591.3184,5.021,1921.04905,591.3184_5.021,591.3184_5.021,1
593.3333_5.048,1747.3527377272728,6010.663545454546,3.4398684453789383,0.00673,1.7823533914306875,2.171984935776023,593.3333,5.048,1846.02215,593.3333_5.048,593.3333_5.048,1
605.1126_3.023,929.9455818181818,6297.185236363636,6.771563153245702,1.88e-5,2.7594889051628937,4.72584215073632,605.1126,3.023,1339.9288999999999,605.1126_3.023,605.1126_3.023,1
617.1836_4.515,850.1787681818182,9483.970065454545,11.155265716334984,0.00101,3.479652973603714,2.9956786262173574,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1
639.0783_3.758,859.1027109090909,6371.299072727273,7.416225082080407,2.19e-5,2.890685030354147,4.6595558851598815,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1
