term,576.1384_0.705,413.1426_4.219,413.1426_4.51,345.1554_4.506,413.1436_3.2,361.1499_3.066,691.3179_4.171,373.1141_3.685,572.2105_4.512,427.197_3.64,359.1353_0.806,il_12p70,427.197_4.049,345.1933_4.201,Isoferulic acid glucuronide,il_5,gm_csf,447.092_4.187,dihydrodaidzein,O-DMA glucuronide isomer 2,glycitein sulfate isomer 2,217.0173_3.88,617.1836_4.515,glycitein sulfate isomer 1,genistein glucuronide,dihydrogenistein glucuronide isomer 1,6-OH-O-DMA glucuronide,493.1666_4.573,366.0851_4.55,O-DMA,217.0172_4.4,daidzein sulfoglucuronide isomer 1,O-DMA glucuronide isomer 1,497.0695_3.785,daidzein diglucuronide,glycitein glucuronide,genistein sulfoglucuronide,total_lyc,393.0495_3.605,daidzein sulfate isomer 1,365.0863_4.095,ethylphenol glucuronide isomer 2,1122.0249_4.032,ethylphenol glucuronide isomer 1,daidzein sulfoglucuronide isomer 2,521.1082_4.508,1122.0248_4.125,daidzein sulfate isomer 2,daidzein glucuronide isomer 2,daidzein glucuronide isomer 3,daidzein,daidzein glucuronide isomer 1,639.0783_3.758,ethylphenol sulfate isomer,dihydrodaidzein sulfate,4-ethylphenol sulfate,dihydrodaidzein glucuronide
576.1384_0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.1426_4.219,0.7413890457368718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.1426_4.51,0.7323546019198192,0.9932241671372105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345.1554_4.506,0.7538114059853189,0.992094861660079,0.9887069452286842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.1436_3.2,0.6126482213438734,0.9243365330321851,0.9164313946922642,0.9017504234895538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361.1499_3.066,0.6713721061547148,0.9514398644833427,0.9412761151891585,0.9446640316205533,0.849802371541502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691.3179_4.171,0.5765104460756634,0.8836815358554487,0.896103896103896,0.8983625070581591,0.8802936194240542,0.8373800112930547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373.1141_3.685,0.6205533596837944,0.9254658385093167,0.929983060417843,0.9424054206662902,0.8577075098814227,0.8938452851496329,0.8791643139469225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572.2105_4.512,0.7797854319593449,0.9175607001693957,0.9062676453980801,0.9130434782608695,0.8068887634105025,0.8610954263128175,0.7888198757763973,0.8317334839073968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427.197_3.64,0.5245623941276115,0.7515527950310558,0.7492941840767927,0.7662337662337662,0.6736307171089779,0.8023715415019762,0.686053077357425,0.7617165443252399,0.686053077357425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359.1353_0.806,0.5494071146245059,0.7673630717108977,0.7526821005081874,0.7549407114624505,0.6939582156973461,0.8306041784302653,0.6612083568605307,0.79785431959345,0.6645962732919254,0.7763975155279503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
il_12p70,0.17447769621682663,0.16996047430830039,0.1473743647656691,0.16657255787690567,0.060417843026538666,0.15866741953698474,0.12930547713156407,0.1756070016939582,0.08639186900056464,0.1067193675889328,0.29870129870129863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427.197_4.049,0.47826086956521735,0.6939582156973461,0.686053077357425,0.7007340485601354,0.6521739130434782,0.7549407114624505,0.63184641445511,0.6792772444946357,0.6600790513833991,0.9706380575945792,0.7481648785996611,0.07284020327498587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345.1933_4.201,0.5392433653303218,0.862224731789949,0.8633540372670807,0.8712591756070016,0.8102766798418971,0.852060982495765,0.8791643139469225,0.8599661208356859,0.7876905702992659,0.8091473743647656,0.6725014116318464,0.03670242800677583,0.7413890457368718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoferulic acid glucuronide,0.6792772444946357,0.7334839073969508,0.7244494635798983,0.7447769621682664,0.63184641445511,0.7142857142857142,0.6408808582721626,0.727837380011293,0.8260869565217391,0.7594579333709768,0.7176736307171089,0.08977978543195933,0.7470355731225296,0.6397515527950309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
il_5,0.18915866741953696,0.035573122529644265,0.06493506493506493,0.05477131564088085,0.02315076228119706,-0.012987012987012986,0.0784867306606437,0.1789949181253529,0.06606437041219648,-0.032185206098249576,0.09881422924901186,0.5245623941276115,-0.051383399209486154,-0.045736871823828344,0.08074534161490682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gm_csf,-0.06380575945793338,-0.427442123094297,-0.4421230942970073,-0.4105025409373235,-0.4477696216826651,-0.42066629023150753,-0.4364765669113495,-0.38791643139469223,-0.4138904573687182,-0.1067193675889328,-0.06606437041219648,0.29870129870129863,-0.08977978543195933,-0.36307171089779783,-0.1914172783738001,0.09881422924901186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447.092_4.187,-0.09768492377188027,0.22190852625635232,0.21061547148503668,0.225296442687747,0.3077357425183512,0.31225296442687744,0.3766233766233766,0.30886504799548276,0.13721061547148503,0.3596837944664031,0.42857142857142855,-0.08865047995482778,0.38114059853190285,0.47939017504234893,0.21739130434782605,-0.15753811405985318,-0.09429700734048559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dihydrodaidzein,-0.20496894409937885,-0.23433088650479952,-0.23884810841332577,-0.2546583850931676,-0.14285714285714285,-0.2377188029361942,-0.19254658385093165,-0.22981366459627325,-0.14059853190287971,-0.40372670807453415,-0.20948616600790512,-0.5268210050818746,-0.4138904573687182,-0.12027103331451156,-0.12704686617730093,-0.3642010163749294,-0.0909090909090909,0.29305477131564084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O-DMA glucuronide isomer 2,-0.34613212874082433,-0.20271033314511572,-0.2004517221908526,-0.22190852625635232,-0.11575381140598531,-0.13382269904009034,-0.24449463579898362,-0.13269339356295876,-0.1473743647656691,-0.31564088085827213,-0.14285714285714285,-0.5539243365330321,-0.28740824392998304,-0.2038396386222473,-0.15753811405985318,-0.2783738001129305,-0.27385657820440423,0.3077357425183512,0.7334839073969508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glycitein sulfate isomer 2,-0.3766233766233766,-0.35516657255787687,-0.3201581027667984,-0.32354601919819304,-0.33370976849237716,-0.26256352343308864,-0.3099943534726143,-0.19028797289666852,-0.31338226990400897,-0.06832298136645962,-0.16092603049124787,-0.4251835121400338,-0.047995482778091465,-0.19932241671372106,-0.13269339356295876,-0.2546583850931676,0.20496894409937885,0.21174477696216826,0.31789949181253524,0.49294184076792763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217.0173_3.88,-0.45906267645398074,-0.31564088085827213,-0.3325804630152456,-0.2975719932241671,-0.35742518351214,-0.26482213438735175,-0.3190287972896668,-0.2546583850931676,-0.23320158102766797,-0.12591756070016938,-0.08526256352343309,-0.18915866741953696,-0.06154714850367024,-0.16544325239977412,-0.1281761716544325,-0.45341614906832295,0.15866741953698474,0.3009599096555618,0.3416149068322981,0.28966685488424615,0.5607001693958215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
617.1836_4.515,-0.48390739695087515,-0.3269339356295878,-0.33596837944664026,-0.30660643704121965,-0.3382269904009034,-0.19480519480519476,-0.2523997741389045,-0.163184641445511,-0.25804630152456237,-0.09994353472614341,-0.05025409373235459,-0.42066629023150753,-0.060417843026538666,-0.12478825522303781,-0.16431394692264256,-0.473743647656691,0.08865047995482778,0.31112365894974586,0.3721061547148503,0.4906832298136645,0.7560700169395821,0.7492941840767927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glycitein sulfate isomer 1,-0.3483907396950875,-0.24901185770750986,-0.22755505364201012,-0.22755505364201012,-0.23207227555053642,-0.1564088085827216,-0.18690005646527386,-0.14172783738001127,-0.14285714285714285,-0.02315076228119706,-0.16092603049124787,-0.5279503105590062,0.01976284584980237,-0.058159232072275545,0.007340485601355166,-0.3077357425183512,-0.08074534161490682,0.3009599096555618,0.46245059288537543,0.48390739695087515,0.8215697346132128,0.6533032185206098,0.6939582156973461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
genistein glucuronide,-0.463579898362507,-0.20835686053077357,-0.20722755505364196,-0.19028797289666852,-0.1281761716544325,-0.1315640880858272,-0.08639186900056464,-0.0626764539808018,-0.16996047430830039,-0.13721061547148503,-0.12252964426877469,-0.49520045172219074,-0.09429700734048559,0.05702992659514398,-0.08526256352343309,-0.21061547148503668,-0.2772444946357989,0.5290796160361377,0.587803500846979,0.5618294748729531,0.4692264257481648,0.605872388481084,0.5911914172783737,0.745906267645398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dihydrogenistein glucuronide isomer 1,-0.41501976284584974,-0.35629587803500845,-0.36533032185206094,-0.35516657255787687,-0.24562394127611517,-0.30886504799548276,-0.23997741389045732,-0.26821005081874644,-0.3077357425183512,-0.30886504799548276,-0.15527950310559005,-0.3721061547148503,-0.2523997741389045,-0.1067193675889328,-0.2185206098249576,-0.269339356295878,0.03783173348390739,0.5426312817617165,0.7583286278938451,0.6002258610954263,0.5234330886504799,0.6487859966120835,0.6250705815923207,0.6047430830039525,0.7775268210050817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-OH-O-DMA glucuronide,-0.5674760022586108,-0.47487295313382266,-0.45115753811405984,-0.45567476002258606,-0.3698475437605872,-0.3946922642574816,-0.36307171089779783,-0.3540372670807453,-0.35742518351214,-0.2501411631846414,-0.35290796160361376,-0.5866741953698474,-0.1688311688311688,-0.2569169960474308,-0.28063241106719367,-0.20722755505364196,-0.005081874647092037,0.21513269339356292,0.45115753811405984,0.5855448898927159,0.7854319593450028,0.6013551665725578,0.7188029361942405,0.7786561264822134,0.691699604743083,0.6996047430830039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493.1666_4.573,-0.42857142857142855,-0.2941840767927724,-0.2998306041784302,-0.28063241106719367,-0.3269339356295878,-0.25804630152456237,-0.25917560700169395,-0.18351214003387914,-0.18012422360248445,-0.20722755505364196,-0.14511575381140596,-0.3450028232636928,-0.19932241671372106,-0.11914172783738,-0.09316770186335402,-0.45567476002258606,0.04912478825522304,0.40146809712027093,0.5121400338791643,0.5019762845849802,0.6725014116318464,0.7967250141163184,0.7910784867306605,0.6826651609260304,0.6013551665725578,0.6261998870694522,0.5719932241671372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366.0851_4.55,-0.47826086956521735,-0.2998306041784302,-0.30886504799548276,-0.30660643704121965,-0.2478825522303783,-0.2670807453416149,-0.1880293619424054,-0.2727272727272727,-0.1914172783738001,-0.2828910220214568,-0.2377188029361942,-0.4726143421795595,-0.2411067193675889,-0.11010728402032749,-0.1281761716544325,-0.4827780914737436,-0.029926595143986445,0.4940711462450592,0.6487859966120835,0.577639751552795,0.533596837944664,0.6420101637492941,0.6465273856578204,0.657820440429136,0.6815358554488988,0.6747600225861095,0.6103896103896103,0.8633540372670807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O-DMA,-0.35290796160361376,-0.36307171089779783,-0.37097684923771873,-0.3664596273291925,-0.295313382269904,-0.35516657255787687,-0.3992094861660078,-0.3224167137210615,-0.2670807453416149,-0.5053642010163749,-0.4082439299830604,-0.5584415584415584,-0.4963297571993223,-0.3099943534726143,-0.2919254658385093,-0.2670807453416149,-0.07735742518351213,0.1789949181253529,0.7933370976849236,0.7910784867306605,0.45454545454545453,0.3924336533032185,0.40372670807453415,0.5832862789384528,0.6612083568605307,0.5957086391869,0.5494071146245059,0.6002258610954263,0.7142857142857142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217.0172_4.4,-0.47600225861095424,-0.3924336533032185,-0.4082439299830604,-0.3980801806888763,-0.3020892151326933,-0.3721061547148503,-0.3167701863354037,-0.3258046301524562,-0.24901185770750986,-0.3325804630152456,-0.2501411631846414,-0.3946922642574816,-0.2478825522303783,-0.2004517221908526,-0.19028797289666852,-0.36758893280632404,0.04234895539243365,0.3721061547148503,0.5618294748729531,0.4364765669113495,0.5629587803500846,0.7876905702992659,0.7007340485601354,0.7029926595143986,0.7210615471485036,0.7334839073969508,0.657820440429136,0.8667419536984754,0.8373800112930547,0.6341050254093732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
daidzein sulfoglucuronide isomer 1,-0.36081309994353467,-0.43083003952569165,-0.4387351778656126,-0.427442123094297,-0.4082439299830604,-0.3664596273291925,-0.4330886504799548,-0.41501976284584974,-0.27385657820440423,-0.4466403162055335,-0.3596837944664031,-0.47600225861095424,-0.3732354601919819,-0.3077357425183512,-0.17673630717108976,-0.3890457368718238,-0.06606437041219648,0.26482213438735175,0.7673630717108977,0.7165443252399774,0.5448898927159795,0.6239412761151891,0.5719932241671372,0.6499153020892151,0.7007340485601354,0.8102766798418971,0.6566911349520044,0.6950875211744776,0.7188029361942405,0.7662337662337662,0.7447769621682664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O-DMA glucuronide isomer 1,-0.4714850367024279,-0.2851496329757199,-0.2783738001129305,-0.2772444946357989,-0.2501411631846414,-0.24675324675324672,-0.2670807453416149,-0.1914172783738001,-0.19028797289666852,-0.34613212874082433,-0.2670807453416149,-0.6024844720496894,-0.29870129870129863,-0.1880293619424054,-0.1789949181253529,-0.35516657255787687,-0.3766233766233766,0.3077357425183512,0.6024844720496894,0.7233201581027667,0.525691699604743,0.6612083568605307,0.6431394692264257,0.7108977978543195,0.8328627893845284,0.6634669678147938,0.6713721061547148,0.7662337662337662,0.7447769621682664,0.7673630717108977,0.7809147374364765,0.7955957086391869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.0695_3.785,-0.6307171089779785,-0.5031055900621118,-0.5143986448334273,-0.473743647656691,-0.4409937888198757,-0.39582156973461313,-0.37097684923771873,-0.3020892151326933,-0.4692264257481648,-0.37097684923771873,-0.27385657820440423,-0.3246753246753246,-0.3800112930547713,-0.23884810841332577,-0.32128740824392993,-0.22190852625635232,-5.646527385657819e-4,0.43195934500282324,0.6149068322981366,0.605872388481084,0.5618294748729531,0.6103896103896103,0.6894409937888198,0.5923207227555053,0.7955957086391869,0.7797854319593449,0.675889328063241,0.7188029361942405,0.6849237718802935,0.6679841897233201,0.7097684923771879,0.7312252964426876,0.7289666854884245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
daidzein diglucuronide,-0.5369847543760586,-0.4906832298136645,-0.49520045172219074,-0.46470920383963854,-0.4184076792772444,-0.4613212874082439,-0.4217955957086391,-0.3992094861660078,-0.3664596273291925,-0.339356295878035,-0.4240542066629022,-0.5911914172783737,-0.3009599096555618,-0.2546583850931676,-0.24562394127611517,-0.29870129870129863,-0.12365894974590626,0.3020892151326933,0.6295878035008469,0.5742518351214003,0.4466403162055335,0.647656691134952,0.517786561264822,0.6408808582721626,0.8170525127046865,0.7380011293054771,0.7368718238283455,0.6250705815923207,0.6645962732919254,0.7154150197628458,0.7075098814229248,0.7673630717108977,0.815923207227555,0.8091473743647656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glycitein glucuronide,-0.6499153020892151,-0.5064935064935064,-0.5019762845849802,-0.47826086956521735,-0.4500282326369282,-0.36081309994353467,-0.35629587803500845,-0.37549407114624506,-0.4466403162055335,-0.3348390739695087,-0.34274421230942964,-0.4353472614342179,-0.29305477131564084,-0.2309429700734048,-0.3687182382834556,-0.2603049124788255,-0.11123658949745906,0.3946922642574816,0.5719932241671372,0.605872388481084,0.5753811405985318,0.6465273856578204,0.6713721061547148,0.7097684923771879,0.852060982495765,0.7809147374364765,0.8136645962732918,0.6047430830039525,0.6521739130434782,0.6408808582721626,0.6725014116318464,0.7628458498023714,0.7594579333709768,0.896103896103896,0.849802371541502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
