m/z,rt,p-value,t-score
1030.3123,3.466,0.83,-0.22061004317880856
108.0216,3.832,0.565,0.5952727826693777
109.0294,3.11,0.788,0.2762969733802347
1093.9937,2.988,0.509,0.6840360337358606
1108.0095,3.117,0.918,0.10516300487646563
1108.0095,3.194,0.822,-0.23130189619913846
1108.0095,3.804,0.598,-0.5445262559876001
111.0085,0.703,0.419,-0.842028189697369
1122.0248,4.125,0.164,-1.5038756014692205
1122.0249,4.032,0.331,-1.022266880058677
1133.0047,3.302,0.265,1.1802318568183707
123.0452,4.211,0.821,0.23263922876205612
124.0072,0.616,0.97,-0.03832855346590356
131.0349,0.8,0.0591,-2.129609948397753
133.0504,0.696,0.867,-0.17146996517432503
135.0295,0.64,0.224,-1.2961394270726547
137.0243,4.815,0.153,1.5469213622470515
137.0244,4.225,0.198,1.3791876914332113
137.0248,0.733,0.141,1.596523128376077
144.03,0.697,0.0453,-2.285890073193887
144.0665,0.781,0.00177,-4.220806250018893
145.0141,0.693,0.586,-0.5628703440314038
146.0456,0.708,0.125,-1.673865874369945
147.0298,0.76,0.528,-0.6529849165090597
149.0089,0.649,0.107,-1.769777669439041
149.0452,0.654,0.799,0.2618269001769736
151.04,4.082,0.149,-1.5632850826560096
151.04,4.576,0.183,-1.4321627342053573
154.0621,0.609,0.00533,-3.5434890533688677
154.9984,0.703,0.0186,-2.8050963725580513
157.0506,2.959,0.0218,-2.712415607117299
161.0454,0.768,0.258,-1.2000871536500948
161.9866,2.133,0.405,0.8692188663964692
161.988,0.685,0.417,-0.8473332934026787
165.0405,0.634,0.611,-0.5252908006713548
165.0409,0.76,0.196,-1.3855170261602738
165.0417,2.342,0.161,-1.515588626388611
165.0557,4.102,0.257,-1.2022309084661489
167.0208,0.657,0.398,-0.8827013276129091
167.0211,1.15,0.165,-1.4990283933827906
168.0301,0.797,0.807,-0.25048987668449213
168.0302,2.597,0.877,-0.15930928010653672
168.0777,0.606,0.0152,-2.9254264436647897
171.0487,4.824,0.237,-1.2569184923619374
172.9915,3.001,0.808,-0.24968504562992044
173.0001,2.997,0.996,0.00539277985691493
173.0089,0.672,0.544,-0.628467063822986
173.0091,1.231,0.759,-0.3152591851989329
173.9923,0.799,0.123,-1.6823459992798004
174.0405,0.655,0.589,-0.5577112697732104
175.0241,0.753,0.401,0.8761720030309639
175.0611,3.177,0.955,-0.05796926279095234
175.0975,4.743,0.535,-0.6424924487942806
177.0225,0.776,0.00409,-3.702294143404166
177.1283,5.202,0.547,0.622939788386538
178.0513,2.879,0.344,0.9923515792735365
178.0515,2.811,0.727,-0.35869846605958694
178.0515,3.479,0.377,0.9242149898080608
178.0524,2.721,0.0966,1.8339206400798858
178.0526,3.481,0.39,0.8982182934146679
178.0557,3.444,0.443,0.7985607160903957
179.0556,0.643,0.282,1.1373958722266229
181.0503,4.495,0.501,0.6973490921161973
181.0504,3.017,0.713,-0.37884968594502944
181.0505,0.817,0.337,-1.0084864344871318
181.0507,4.062,0.219,1.3104662551533948
181.9916,0.803,0.533,0.6461043995891799
181.9917,2.823,0.328,1.0290506200374143
182.0076,0.788,0.851,0.19267992807761777
182.0282,0.77,0.0318,2.4937351208613046
182.0458,0.803,0.757,-0.3184160017364215
182.0458,2.174,0.245,-1.2343971583032032
184.0979,4.054,0.934,-0.08493939340260713
185.0819,4.129,0.0276,-2.576161442579991
187.0075,3.121,0.19,-1.4055221663590296
187.0079,3.815,0.255,-1.207936038888164
187.0101,3.824,0.103,-1.7927653716273244
187.0383,0.634,0.447,-0.7919121877500085
187.0387,3.806,0.318,-1.0500300516897692
188.0021,0.665,0.0347,-2.4420088346387696
188.9863,1.166,0.65,-0.46718532535334323
188.9864,0.815,0.959,-0.05319490846755042
188.9864,2.765,0.896,-0.13419653203346624
189.0027,3.097,0.775,-0.2932561388183322
191.0201,1.159,0.034,2.45458629425145
191.0203,0.697,0.911,-0.1142786802608933
191.0212,0.699,0.459,-0.770295772706826
191.0267,0.755,0.748,-0.330006921285661
191.0276,1.165,0.219,1.3109074824984712
191.0523,0.699,0.0766,-1.9741495543481467
191.0524,0.713,0.199,-1.374117055576221
191.1076,5.282,0.508,0.6867755827411033
191.1105,5.283,0.792,0.2706974041596563
193.0351,0.617,0.143,-1.591059238399674
193.0353,5.465,0.0371,-2.4034078493415154
194.0458,3.657,0.912,-0.11374541600913225
194.0459,0.799,0.926,0.09488732244794151
194.0459,2.735,0.665,0.44579128447877364
194.0459,2.921,0.587,-0.5608381054858718
194.0459,3.542,0.978,-0.028486742439062414
194.0459,4.033,0.88,-0.1554292280459818
194.046,0.798,0.295,1.1044561603072551
194.0491,4.031,0.664,0.4473209796340759
194.0495,2.735,0.287,-1.1252166854936727
194.0546,0.797,0.357,-0.9663711672804339
195.0512,0.787,0.119,-1.7054840845179466
195.0514,2.765,0.231,-1.2745416537031586
195.051,0.627,0.261,-1.190516364957214
197.0442,3.134,0.619,0.5135044191252512
197.0453,3.76,0.418,0.8444646842537893
197.0471,3.745,0.883,0.15105496653245704
197.0819,4.344,0.0606,-2.114518817977132
198.1135,5.021,0.0165,-2.8762881923266637
199.0068,4.328,0.638,-0.48555200535448473
199.0975,5.017,0.396,-0.8866367390285317
200.1291,5.38,0.113,-1.7346681847166936
201.0227,4.086,0.0876,-1.8929328181231206
201.0228,4.555,0.336,-1.0100751134835964
203.0017,3.661,0.116,-1.719185484182389
203.0021,0.801,0.249,1.222954761995598
203.0021,2.888,0.222,-1.301900884400779
203.002,3.205,0.762,0.31081852992596937
203.0048,3.202,0.941,0.07598738320990936
204.0666,4.129,0.546,0.6241868653400077
204.0666,4.532,0.166,1.49315818375994
204.9812,0.795,0.362,-0.9548364469300819
204.9812,2.586,0.422,-0.8373134190091391
205.0352,0.76,0.322,-1.0412057180475205
206.9961,0.7,0.716,-0.3744696552032364
206.9967,2.418,0.241,1.2453513436335295
208.0615,3.836,0.357,0.9661060824629406
208.0646,0.766,0.0673,-2.0514068568703396
209.0452,3.159,0.562,0.5998523729819178
209.0452,3.24,0.923,0.0994367280899269
209.0455,3.749,0.822,0.23110035490361877
209.0532,3.773,0.122,1.6908996564536918
210.0419,3.959,0.342,-0.997066296192575
211.0611,3.158,0.182,1.4331801409461369
211.0613,3.866,0.905,-0.12253578951573664
211.0615,4.235,0.84,-0.2076363608574758
211.0967,4.185,0.756,-0.31920883814772494
211.0971,3.846,0.965,0.045584699247644515
212.0023,0.825,0.497,-0.7045634564224529
212.0027,3.304,0.298,-1.0970327331141614
212.0065,4.503,6.81e-4,-4.840715895985048
212.0937,3.815,0.918,-0.10530566399342893
213.1132,5.201,0.258,-1.200640008945578
213.9981,2.254,0.16,-1.5179362486729835
215.0021,3.307,9.06e-4,4.651521226980206
215.0326,0.629,0.463,-0.7629339257983432
216.9808,0.715,0.825,0.22689608010060594
216.9812,2.65,0.519,0.6685727097621088
216.981,0.709,0.763,-0.30934811443668353
217.0161,1.159,0.707,0.3866720663210386
217.0162,0.671,0.778,0.29013882370811933
217.0172,4.4,0.367,-0.9448982103179027
217.0173,3.88,0.0756,-1.9821083084832087
217.0486,0.63,0.00196,-4.15584857257592
217.1081,3.912,0.0437,-2.307827520747633
218.0492,0.684,0.0231,-2.6786607107411915
218.0821,5.22,0.273,1.1589537755821149
218.1032,0.748,0.643,0.477393377734277
218.1033,2.56,0.429,0.8250731200058772
218.9961,0.686,0.953,-0.060878755841796396
218.9964,3.175,0.493,-0.7116231589023919
219.0457,0.629,0.0347,-2.443180014286699
219.0508,0.792,0.52,0.6664105394573645
219.0509,2.854,0.489,0.7179110464147408
219.0524,2.85,0.885,0.14836516032346558
220.0979,4.733,0.101,-1.804858902706004
221.1178,5.185,0.476,0.7400318008931903
222.0406,3.686,0.638,-0.4855158709372443
222.1134,5.811,0.00124,-4.44610145889898
223.0623,0.802,0.535,-0.6423838700672888
223.0969,5.259,0.377,0.9242429966843931
223.0982,5.267,0.652,-0.465305662849602
224.0561,3.018,0.322,-1.0427177832642995
224.0563,0.81,0.291,-1.115448006696263
224.062,4.537,0.174,-1.46453591383015
225.0623,0.658,0.86,-0.18053373600188177
227.0554,2.1,0.911,0.11448819733092544
227.0559,0.8,0.306,1.0784984619700526
227.06,0.796,0.139,1.607230392294755
227.9967,0.668,0.309,-1.0707246854670067
227.9971,0.795,0.208,-1.3455651787389953
227.9972,2.377,0.48,-0.734068846048464
229.017,4.354,0.839,0.20797513814710628
229.0539,5.383,0.65,0.46727672056452874
230.0128,3.042,0.364,-0.9516650382080032
230.0128,3.569,0.724,-0.3634960331583053
230.0129,2.513,0.431,0.8208865448704746
230.0135,0.791,0.651,0.4663058334906804
230.0139,0.763,0.485,0.7254133707516011
230.0156,0.793,0.13,1.650187040726348
230.0159,2.501,0.588,0.5598958660621767
230.0493,0.666,0.504,0.6927476421688294
230.9963,3.838,0.00877,3.246326787864127
230.9967,0.757,0.898,-0.13187339781958834
230.9968,3.178,0.0202,2.7576800322965553
230.9969,3.457,4.1e-4,5.185648867336699
231.0308,0.666,0.898,0.1311334311415784
231.9926,0.79,0.0347,-2.441984499443699
232.005,0.705,0.713,0.3783176494185483
232.9759,0.708,0.551,0.6175472965140733
233.0124,2.47,0.993,0.009227599025621138
235.057,0.641,0.0305,-2.517796756349598
235.0957,5.223,0.35,0.9811088337867958
236.1018,5.033,0.343,0.9959611229908464
237.0356,3.369,0.314,1.0601974153488716
237.0359,3.933,0.652,-0.4647151669753653
237.1243,4.614,0.457,0.7744575820473764
238.0776,4.607,0.377,-0.924814825861428
239.1144,0.622,0.0538,-2.1844615654891557
240.9816,3.419,0.00298,3.8960960061281855
241.1189,3.536,0.0724,-2.007936143992997
241.1193,2.896,0.0467,-2.2680624386655093
242.0115,0.695,0.376,-0.9261724015150846
242.0128,2.785,0.713,-0.3781658966086522
242.0128,3.535,0.671,0.4373109741113778
243.0329,4.371,0.989,-0.013855342660893399
243.0617,0.662,0.367,-0.9457306405264464
243.0779,4.486,0.895,0.13574945152217915
243.1236,4.74,0.171,-1.4741316364678905
243.1344,3.787,0.0352,-2.4334789273093707
243.1349,3.353,0.015,-2.9331449969841534
245.0124,3.342,0.409,-0.8623892450421571
245.0433,0.63,0.691,0.4085506375339406
245.0485,4.677,0.639,0.48351318236742225
245.0488,4.187,0.424,-0.8329638125680089
245.0489,3.748,0.575,-0.5802152881826464
245.0937,4.487,0.434,-0.8152792899337455
245.1137,0.783,0.18,-1.4417304502366826
246.0109,2.385,0.348,0.9850676360528369
246.0383,2.873,0.207,1.3508705731460655
246.0383,3.487,0.567,0.5918896820861866
246.0433,0.669,0.0752,1.9850123692316224
246.0752,4.139,0.176,-1.4580113239286614
246.0753,3.721,0.0215,-2.7215252635697413
246.1531,5.399,0.0326,-2.4782943351172424
246.9913,0.705,0.247,-1.2300528735828378
246.9917,2.802,0.802,-0.2577234708809712
247.0277,0.755,0.129,1.6527927622731193
247.062,0.659,0.171,-1.4741190423786874
247.0798,4.12,0.562,-0.5998598141009861
248.0596,0.808,0.35,-0.9806183179234867
250.0718,3.655,0.605,0.5332937325776028
251.0128,3.524,0.869,0.16861099151823455
253.0503,5.048,0.1,-1.8109260393202649
253.9903,0.661,0.00824,-3.283820528600593
254.9816,0.664,0.173,-1.4681235174001732
254.9941,3.14,0.143,-1.5897104508684705
255.0674,5.078,0.297,1.099341863799483
255.1349,3.614,0.0651,-2.0718206187375277
255.1349,4.042,0.0599,-2.121301003584746
257.0816,6.056,0.653,-0.46270459118505153
258.0424,0.699,0.704,-0.39111422372728905
258.044,2.007,0.743,-0.33695634810395375
258.9916,0.797,0.6,0.5415464568725271
258.9926,3.301,0.453,0.7799685581508231
259.057,0.712,0.0797,-1.9501894898770653
259.129,3.733,0.245,-1.2347988093721476
260.0239,2.686,0.668,0.4423767299545046
260.0254,0.667,0.919,0.10435495460675732
261.0071,3.241,0.901,0.12768094114653689
261.0072,0.769,0.583,-0.5667266746384486
261.0232,0.668,0.885,0.14898289777801454
261.039,0.66,0.48,-0.7337341294039147
262.0286,0.664,0.321,1.0441912866923406
262.0364,0.654,0.984,-0.020445031390782506
262.9863,0.693,0.055,-2.1713874500946333
263.0249,0.69,0.47,0.7500627053005192
263.0272,2.81,0.0516,2.210032038834658
263.0573,0.662,0.41,-0.8597554587703208
263.1041,2.759,0.526,-0.6577468779476542
263.1041,2.796,0.203,-1.3609244633928146
263.1046,3.466,0.662,-0.45068317950887027
263.1054,2.91,0.241,1.2470785997751768
263.1397,2.777,0.565,-0.5951177048667156
263.141,3.465,0.632,-0.4943301272658659
264.0876,3.875,0.357,-0.9654436451228791
264.1168,3.46,0.202,-1.3654228272525557
264.9884,0.68,0.0283,-2.561410928492341
265.0184,2.828,0.234,1.2669609268757567
265.1192,4.316,0.952,-0.061690697482334134
267.1235,7.063,0.0261,2.6094380513220123
269.1505,4.575,1.78e-4,-5.779047989030761
269.1506,4.275,1.32e-4,-5.99965362750742
273.0073,0.807,0.511,0.6814770362331471
273.0074,3.349,0.635,0.48953205557087903
274.0026,0.671,0.266,-1.1780968719426124
274.0027,2.51,0.561,-0.6020259365181907
274.0396,0.676,0.0479,-2.253680678192064
274.039,0.769,0.00794,-3.305776831460857
275.0216,0.69,0.841,0.20648230571724047
275.0221,0.754,0.674,0.4329815124659826
275.0224,3.427,0.155,1.5383580002150246
275.0569,0.663,0.583,0.5668002455099638
276.0009,3.151,0.419,0.8428979222398644
276.0018,0.763,0.124,1.6776915135965547
277.0021,0.707,0.454,-0.7794726087046466
277.0349,0.667,0.205,-1.3564919104835984
277.052,0.659,0.418,-0.8449352550471547
277.0852,0.658,0.155,-1.5376530377893227
278.0698,0.683,0.116,-1.7207744456961716
279.0491,3.95,0.721,0.3675593779929219
279.049,3.659,0.429,-0.824824649968229
279.0984,3.799,0.194,-1.3916183742559682
279.9896,3.301,0.588,-0.5594930687739745
281.1142,4.039,0.0103,-3.1501428586801046
282.0473,0.802,0.255,-1.208225880799109
283.0822,3.328,0.568,-0.5907403947665429
283.0822,3.893,0.614,-0.5211128589588356
283.1657,5.239,0.0819,-1.9340678121459738
287.0195,0.66,0.502,-0.6961288998356154
287.0227,3.548,0.0249,-2.6357837725889612
287.0526,0.66,0.0795,-1.9521348097367492
289.0363,0.688,0.283,-1.1338215128757896
289.0528,0.664,0.828,-0.22283484815792554
289.0702,0.663,0.516,-0.6736933613432241
290.0877,0.662,0.23,-1.2779519279853864
291.0345,0.717,0.756,-0.31999974176406953
291.0683,0.654,0.715,-0.3757284288574157
293.0301,0.685,0.191,-1.4030932583978013
293.0331,2.576,0.101,1.8034560783839098
293.0676,0.65,0.879,0.15567674552453972
293.0743,2.543,0.549,-0.6208326240187638
295.0242,4.354,0.0968,-1.8322892193355196
295.0252,3.897,0.234,-1.267751450348799
295.0806,3.721,0.881,-0.15405824795744624
295.0815,4.242,0.696,-0.4023931253981894
295.1298,3.641,0.433,0.8175392344539898
296.0197,0.697,0.132,-1.6414625230659647
296.9824,0.699,0.162,-1.5116732467598168
297.0975,4.072,0.364,-0.9501441978716463
297.0975,4.498,0.0311,-2.5068942943866492
298.0002,3.49,0.416,0.848988724734292
299.0779,3.509,0.127,-1.6624928166649457
299.1247,0.784,1.29e-4,-6.018921104890329
300.0195,0.687,0.102,1.8023793070365177
300.039,0.661,0.0294,-2.539255196075859
301.0547,0.665,0.456,0.7761123099282727
301.0563,0.774,0.987,0.016087354615343868
302.0532,0.694,0.256,-1.2055410532594857
302.1145,3.69,0.0217,-2.7154082797919328
303.0177,0.795,0.565,0.5944128707999177
303.0178,3.212,0.564,0.5964819224343025
303.0365,0.684,0.694,0.4054420768955159
303.0532,0.705,0.333,1.0162037303933462
303.0712,0.728,0.83,0.2200967296288476
303.072,2.684,0.365,0.9495300162692933
305.1604,5.512,0.088,-1.890267689526629
306.9561,3.814,0.286,-1.1283262045927493
307.0326,0.669,0.865,0.17405359787313907
307.1184,6.294,0.468,-0.7550961131363877
308.0774,3.378,0.179,-1.445721833069584
308.0983,0.658,0.157,-1.531001089380347
310.9691,1.162,0.0149,2.935762076972703
310.9761,0.719,0.773,-0.2967460987666811
311.0752,3.182,0.22,1.3081168797746168
313.0567,0.793,0.538,0.6371137582298647
313.0569,3.13,0.375,0.9287278900020807
313.9951,2.734,0.697,0.400774535562394
313.995,4.031,0.672,-0.43640553607615873
313.999,0.818,0.485,-0.7252468574542056
315.0338,0.673,0.203,-1.3618444729184476
315.0713,0.751,0.784,-0.28181888532240457
317.1602,5.227,0.927,-0.0940638837543894
318.064,0.674,0.705,-0.38961661657084035
319.0474,0.696,0.239,-1.2526803188601952
319.1032,0.789,0.0155,-2.912620363468003
319.1396,5.493,0.0677,-2.047992706222042
320.0597,0.683,0.144,-1.5839975730689808
321.0622,3.448,0.253,-1.2117075892305296
321.0625,0.656,0.335,-1.0136730596841748
324.0682,6.363,0.408,0.8641705439780516
324.0723,0.776,0.0495,-2.2346462254447936
324.0723,2.134,0.514,-0.6759585269877442
324.0723,2.857,0.485,-0.7242812169545397
325.1288,5.321,0.822,0.23121024003490612
326.0866,0.798,0.434,0.8143413362747236
328.0474,0.665,0.148,-1.5673302576952917
329.1602,5.369,0.291,1.1139844364456362
330.0287,3.095,0.549,0.620640916383367
330.0291,0.673,0.545,-0.6271095239156457
331.0121,3.56,0.328,1.0288726323843684
331.0274,0.668,0.801,-0.2588407074717175
331.091,2.747,0.232,-1.2735755220637388
331.091,3.433,0.396,-0.8867243308142042
331.1218,3.932,0.257,1.2033214811123634
331.1763,5.775,0.0648,-2.0744901494898915
333.0047,4.33,0.403,-0.8735806396879042
333.0066,3.893,0.331,-1.0223837566977454
333.0634,0.694,0.72,-0.36869093700086303
334.0517,3.708,0.348,-0.9853046297859821
335.0244,4.36,0.215,-1.324046469794332
335.0468,0.663,0.88,-0.15520631545099606
336.0493,0.662,0.475,0.7418386698862833
336.0706,3.376,0.187,-1.4160740863728902
336.0708,0.807,0.891,0.14028836539331688
336.0718,3.292,0.836,-0.21290983212040004
336.072,3.762,0.0578,-2.1428587886446784
336.1214,3.081,0.0178,-2.831634423781707
336.1218,3.046,0.274,-1.1575413921759954
336.1323,3.647,0.677,-0.4288747885489688
337.0556,0.777,0.017,2.8593448302997855
337.056,3.104,0.00994,3.172896110560149
337.1446,4.025,0.263,-1.1857609609651492
337.1469,3.591,0.478,-0.7375829304532869
338.0632,3.433,0.493,0.7117293974577282
338.0879,3.557,0.78,0.28684823672681997
338.1178,2.307,0.341,-1.0000566908579096
339.1082,4.74,0.877,0.15906716466445417
341.1234,4.519,0.836,-0.21243295673130522
343.0666,0.756,0.478,-0.7371873022853369
343.0669,2.881,0.403,-0.8728092388839174
343.0855,4.396,0.309,-1.0721731489005843
343.0855,4.765,0.165,-1.4993129003230952
343.1396,5.368,0.295,1.105751866844417
344.0448,0.677,0.559,-0.604646230160601
345.0438,0.668,0.334,-1.014497699802294
345.1552,6.009,0.0128,-3.023646864849498
345.1553,5.874,0.0074,-3.347115128491521
345.1554,3.382,0.333,1.0179201221946825
345.1554,4.506,0.143,1.5886941539665518
345.1933,4.201,0.122,1.688430019743396
347.0424,0.697,0.743,0.33648601987178167
347.059,0.674,0.697,0.4013178644719426
347.0774,4.782,0.552,-0.6155495055261051
347.079,0.706,0.367,-0.9451845621659982
347.0881,3.328,0.344,-0.9927471576682495
347.1678,4.233,0.588,0.5589584889799385
347.17,3.394,0.232,1.2713358610455265
348.0769,2.315,0.193,1.3971333403822774
349.0207,0.696,0.0838,-1.9201898280358567
349.059,0.669,0.671,-0.4371378733107655
350.088,3.366,0.0152,-2.92218074321701
350.088,3.952,0.0154,-2.915615998915634
351.0199,0.667,0.814,-0.24122590459078253
351.0566,0.663,0.458,-0.7714575520093033
351.07,3.888,0.655,-0.4611551963397045
352.0859,5.224,0.289,-1.1189680250689067
354.1007,4.717,0.0155,-2.9119730574298854
354.1009,5.03,0.0262,-2.6070408543869363
355.1037,4.621,0.266,-1.1768953363363224
356.031,0.667,0.274,-1.1572622479136694
356.0987,0.796,0.835,0.2131797433167386
356.1002,2.592,0.595,0.5492387164255119
357.0823,0.779,0.864,-0.1752890658541574
357.0825,3.399,0.956,-0.05621327827209894
357.0826,2.931,0.67,-0.43911387920004574
357.1009,4.96,0.912,0.1127067925973069
359.0566,0.67,0.801,0.25878052656617573
359.0958,2.977,0.51,0.6837798861318873
359.0975,2.524,0.567,0.5917561815405237
359.1344,4.351,0.64,0.4823429252976475
359.1345,3.504,0.844,0.20240152541582473
359.1347,3.481,0.835,0.21371930563505
359.1353,0.806,0.222,1.302515683730353
359.1353,3.002,0.307,1.0765541490975907
360.0729,0.672,0.829,-0.22127478489139105
