TOMATO EFFECT,,,,,,,,,,,,,,,,,,,
HILIC-NEG,,,,,,,,,,,,,,,,,,,
mz_rt,post.x,pre.x,FC_post_div_pre.x,p.x,log2_FC_post_div_pre.x,post.y,pre.y,FC_post_div_pre.y,p.y,log2_FC_post_div_pre.y,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,Possible ID,Source,Notes
153.0193_3.42,50912.97009,17348.48632,2.934721171,5.83E-06,57148.02873,24400.08636,2.342124035,2.39E-04,1.227817481,3.621602099,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1,a hydroxybenzoic acid derivative?,HMDB,
190.9655_2.104,581392.9491,197106.0215,2.949645804,7.47E-04,555457.6791,180616.3264,3.075345902,2.66E-04,1.620748688,3.575118363,190.9655,2.104,232488.375,190.9655_2.104,190.9655_2.104,1,hydroxybenzoic acid deriv adduct?,HMDB,
190.9746_2.11,28078.59836,9905.075345,2.834768781,0.00101,29473.88864,12543.50078,2.34973387,4.79E-04,1.232497367,3.319664487,190.9746,2.11,17007.9835,190.9746_2.11,190.9746_2.11,1,4-phospho-hydroxy-threonine,HMDB,
208.976_0.787,93899.35864,37376.19107,2.51227736,0.0046,105646.8085,45378.69973,2.328114494,0.00189,1.21916201,2.723538196,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1,,,
211.987_1.036,39968.22664,11572.42857,3.453745805,0.00261,59954.47709,13461.40756,4.453804463,9.03E-04,2.15503822,3.04431225,211.987,1.036,30625.7575,211.987_1.036,211.987_1.036,1,,,
214.9867_1.03,110925.727,35551.53591,3.120138812,9.43E-05,102751.3088,42747.06273,2.403704542,1.37E-04,1.265259574,3.863279433,214.9867,1.03,74217.675,214.9867_1.03,214.9867_1.03,1,,,
215.0018_1.171,96089.24045,33377.448,2.878867206,1.42E-04,84405.08373,39596.81718,2.131612835,0.00108,1.091945425,2.966576245,215.0018,1.171,67078.373,215.0018_1.171,215.0018_1.171,1,acetylphenol sulfate,HMDB,
230.9967_1.606,200014.0445,111505.2821,1.793762957,0.00144,221798.77,143573.272,1.544847219,0.0179,0.627464167,1.747146969,230.9967,1.606,167618.34,230.9967_1.606,230.9967_1.606,1,,,
232.0985_0.835,9520.884055,3114.472655,3.056981104,7.81E-06,49843.03191,4744.040436,10.50645174,5.22E-05,3.393203617,4.282329497,232.0985,0.835,7158.0943,232.0985_0.835,232.0985_0.835,1,,,
261.0072_0.741,47512.47391,18051.17627,2.632098495,7.54E-05,50259.63,20781.89209,2.418433787,1.83E-05,1.27407304,4.73754891,261.0072,0.741,31024.4905,261.0072_0.741,261.0072_0.741,1,,,
287.0407_5.683,61450.72645,17011.22597,3.612363186,7.30E-05,43743.47227,25747.37391,1.698948888,0.0233,0.76464245,1.632644079,287.0407,5.683,39395.9885,287.0407_5.683,287.0407_5.683,1,,,
313.0919_5.697,35654.19982,2671.335155,13.34695864,2.26E-08,7104.513273,3667.206736,1.937309179,0.00298,0.954054215,2.525783736,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1,,,
425.1157_3.412,9090.768336,3276.476655,2.774556115,1.76E-05,8551.325255,4300.892018,1.988267833,0.00967,0.991512111,2.014573526,425.1157,3.412,5336.083,425.1157_3.412,425.1157_3.412,1,,,
447.0927_4.077,55206.86264,21367.38253,2.58369796,0.00763,20754.89298,8918.957295,2.327053746,0.00838,1.218504532,2.076755981,447.0927,4.077,14621.183,447.0927_4.077,447.0927_4.077,1,naringenin glucuronide,HMDB,