m.z,r.t,p.value,t.score,mode
377.0353,0.713,0.174,-1.464103849,negative
377.0526,0.697,0.165,-1.497257723,negative
377.1019,5.09,0.968,-0.040572263,negative
379.0336,0.708,0.576,0.578596178,negative
379.0338,3.038,0.6,0.540895864,negative
379.0686,0.661,0.732,-0.352554293,negative
379.0909,2.789,0.396,-0.887561458,negative
379.091,3.484,0.442,-0.801153935,negative
379.1393,5.891,0.652,-0.464838856,negative
379.1607,3.652,0.976,0.030958254,negative
379.1607,4.047,0.764,-0.309206491,negative
379.1955,5.602,0.803,0.256165943,negative
380.0301,1.155,0.956,-0.056379108,negative
381.0301,1.155,0.544,-0.627868567,negative
381.0802,3.385,0.987,-0.01635313,negative
381.1551,6.237,0.592,-0.553375888,negative
382.9875,3.002,0.756,0.318948441,negative
383.0324,2.787,0.0865,1.901184296,negative
383.0464,3.601,0.682,-0.422353876,negative
383.053,3.466,0.477,0.738523041,negative
383.0644,2.771,0.792,0.270858304,negative
383.1529,4.559,0.876,-0.159727561,negative
383.153,4.885,0.843,0.20321081,negative
384.0537,2.335,0.465,-0.76036511,negative
385.1498,5.181,0.206,1.352381386,negative
385.1685,4.355,0.757,-0.318165284,negative
385.1861,4.524,0.585,-0.564528564,negative
387.1489,5.77,0.0519,2.205787908,negative
387.1658,5.117,0.904,0.124146422,negative
388.047,2.937,0.808,-0.249482684,negative
388.047,3.398,0.803,0.256135483,negative
388.047,3.472,0.87,0.167483112,negative
389.0528,0.7,0.342,-0.997222769,negative
389.0919,4.531,0.233,1.270328941,negative
389.0981,4.564,0.551,0.616871785,negative
389.1038,0.786,0.46,-0.769026157,negative
389.1043,2.952,0.391,-0.895900113,negative
389.1814,5.311,0.913,-0.111605802,negative
391.0332,0.698,0.846,0.199476198,negative
391.0993,4.492,0.367,0.944190135,negative
391.1124,0.79,0.905,0.122056694,negative
391.1968,5.431,0.252,-1.214649893,negative
393.0495,3.605,1.19E-04,6.076525934,negative
393.0776,3.464,0.0929,-1.857185983,negative
393.2643,6.229,0.618,-0.514988172,negative
394.06,0.685,0.723,-0.36481407,negative
395.0628,0.675,0.662,-0.450237204,negative
395.0857,2.735,0.276,-1.152495459,negative
395.0857,2.92,0.466,-0.757939689,negative
395.091,3.521,0.511,-0.682181891,negative
395.1144,4.677,0.639,-0.483974125,negative
396.025,0.663,0.563,0.598712323,negative
396.0904,2.751,0.823,-0.229705756,negative
396.1124,4.459,0.266,-1.17796777,negative
396.1279,4.011,0.659,0.455062913,negative
396.1297,3.506,0.227,1.287108662,negative
397.0032,3.133,0.764,0.308533403,negative
397.0034,3.815,0.704,0.390377772,negative
397.0582,0.701,0.63,0.497140089,negative
397.1496,4.415,0.628,-0.499769597,negative
397.1911,4.067,0.286,-1.126880155,negative
398.0412,0.681,0.733,-0.350335938,negative
399.0203,0.683,0.383,0.911992764,negative
399.1658,3.513,0.452,-0.783041528,negative
400.1429,4.669,0.395,0.888728788,negative
401.1094,4.24,0.259,-1.197026272,negative
403.066,3.865,0.659,-0.455096769,negative
403.1019,5.042,0.188,1.413682109,negative
403.1133,4.514,0.0985,-1.821456159,negative
403.1971,3.26,0.478,-0.736904374,negative
403.197,0.807,0.307,-1.077305027,negative
404.0395,3.379,0.769,-0.302135875,negative
404.0405,3.511,0.851,-0.193288881,negative
405.0285,0.72,0.412,-0.855979879,negative
405.0469,0.697,0.0289,-2.549860314,negative
405.0648,0.668,0.657,-0.458318987,negative
405.118,5.456,0.243,-1.24203468,negative
405.1764,4.467,0.465,-0.76040823,negative
405.2644,6.291,0.76,-0.313309618,negative
407.0405,4.991,0.123,-1.682678771,negative
407.2799,5.411,0.952,-0.061282484,negative
407.2799,5.805,0.306,-1.079895193,negative
407.2801,6.791,0.518,-0.669966568,negative
409.0428,0.71,0.205,-1.356431653,negative
411.0759,4.059,0.822,-0.230631155,negative
411.0787,0.764,0.914,-0.110761225,negative
411.1279,4.49,0.44,-0.803619466,negative
411.1654,4.559,0.145,-1.581587309,negative
411.2021,4.884,0.269,-1.171077417,negative
411.2021,5.398,0.356,-0.968648159,negative
412.9977,3.204,0.733,-0.350227578,negative
413.1426,4.219,0.023,-2.683601424,negative
413.1426,4.51,0.0234,-2.673485208,negative
413.1436,3.2,0.0494,-2.235339825,negative
413.144,3.692,0.0762,-1.97709144,negative
413.1993,5.357,0.629,0.498875957,negative
415.1607,0.797,0.0676,-2.04898182,negative
416.1536,5.683,0.481,0.731956791,negative
417.1173,4.046,0.146,1.577428747,negative
417.1192,4.5,0.299,1.09506256,negative
417.2126,6.021,0.746,0.333418638,negative
418.1123,0.717,0.469,-0.752250133,negative
418.1149,0.722,0.764,0.308138844,negative
418.1327,4.164,0.472,0.747081205,negative
419.1134,0.748,0.827,-0.224701274,negative
419.1155,2.861,0.822,-0.230436288,negative
419.2281,6.362,0.99,-0.012210692,negative
421.0558,3.818,0.389,-0.900073844,negative
421.0582,5.463,0.725,0.36169553,negative
421.9984,3.301,0.692,0.408399565,negative
422.0501,0.727,0.366,-0.946966747,negative
422.1067,0.783,0.968,0.041682764,negative
422.1084,2.915,0.54,-0.634699666,negative
423.0571,0.703,0.165,-1.499045442,negative
424.0493,0.721,0.0964,1.834731401,negative
425.145,4.374,0.452,0.782624346,negative
427.0844,2.991,0.127,-1.662317849,negative
427.1967,4.894,0.0432,-2.313637962,negative
427.197,3.64,0.0256,-2.619251144,negative
427.197,4.049,0.0385,-2.38227928,negative
428.0941,2.98,0.462,-0.765283181,negative
428.0955,4.037,0.848,-0.197058718,negative
428.0976,3.601,0.212,-1.334173315,negative
429.0423,3.352,0.72,-0.368271655,negative
429.0815,4.032,5.53E-08,14.30093534,negative
429.082,3.756,8.14E-08,13.73217442,negative
429.083,3.201,3.23E-07,11.870765,negative
429.1762,5.798,0.191,1.4038747,negative
431.0534,0.666,0.402,-0.874749112,negative
431.0979,3.907,3.58E-06,9.146267899,negative
432.1213,3.706,0.729,-0.35571301,negative
433.0646,4.045,0.0288,2.550533598,negative
433.1136,4.519,0.00125,4.442152595,negative
433.113,4.886,5.82E-08,14.22305494,negative
433.2076,5.283,0.708,0.385319944,negative
433.2077,4.995,0.768,-0.303399207,negative
434.1396,3.922,0.537,-0.639827116,negative
435.2232,5.611,0.384,0.910212279,negative
437.0497,3.488,0.587,-0.56194282,negative
437.0526,5.832,0.235,1.262867082,negative
437.18,7.078,0.114,1.732571901,negative
439.056,0.753,0.234,1.26741391,negative
439.1146,6.219,0.434,-0.814807453,negative
439.1607,4.307,0.392,0.895070122,negative
439.1608,3.725,0.11,-1.751237961,negative
439.1608,4.66,0.384,0.911097572,negative
441.0612,2.876,0.51,-0.682751349,negative
441.1026,3.212,0.0783,-1.961082124,negative
442.19,5.313,0.689,0.41214736,negative
443.1557,5.98,0.18,1.442549197,negative
445.0782,4.484,4.57E-05,6.830647931,negative
445.0903,0.667,0.702,0.3934293,negative
445.1072,3.893,0.659,0.455156882,negative
446.1795,4.499,0.524,-0.660736799,negative
446.1831,4.341,0.404,0.872000928,negative
446.2907,6.081,0.579,0.573257985,negative
446.2908,6.024,0.829,0.221523382,negative
446.2909,6.562,0.793,-0.269427047,negative
447.0919,4.504,0.0663,2.060379333,negative
447.0921,4.067,0.0544,2.177899526,negative
447.0928,3.777,0.0032,3.852655179,negative
447.092,4.187,0.0305,2.51792448,negative
448.1961,5.778,0.953,-0.060754255,negative
448.1966,4.911,0.227,-1.285871037,negative
448.3058,6.47,0.765,-0.307030058,negative
449.0698,2.589,0.217,1.316345256,negative
449.1074,4.301,0.00289,3.91424944,negative
449.254,8.044,0.899,-0.130248135,negative
457.0689,0.726,0.225,-1.294395763,negative
457.0963,2.367,0.18,-1.441183017,negative
457.097,2.652,0.111,-1.748205987,negative
457.2207,6.206,0.52,-0.666192949,negative
458.9733,3.815,0.647,0.471944734,negative
459.0843,2.964,0.294,1.107017837,negative
459.0924,4.452,0.089,-1.88337371,negative
459.093,3.801,7.19E-09,17.66659084,negative
459.1504,4.33,0.176,1.456993269,negative
459.1629,2.778,0.782,0.284663628,negative
461.0863,3.571,0.229,-1.280837666,negative
461.1337,5.706,0.5,0.699878954,negative
461.2388,5.842,0.925,-0.096060122,negative
462.1766,4.998,0.961,-0.050358163,negative
463.0831,5.418,0.488,-0.720580546,negative
463.2334,5.897,0.656,-0.459487771,negative
464.0663,2.822,0.092,-1.863258617,negative
464.1436,2.856,0.787,-0.277823621,negative
464.1437,2.772,0.7,-0.396540432,negative
464.1437,2.808,0.817,-0.237230399,negative
464.1438,3.474,0.899,0.130613775,negative
465.0845,4.208,0.0698,-2.029774845,negative
465.2493,6.146,0.657,-0.457748836,negative
467.1506,5.777,0.66,0.453088724,negative
467.1919,5.446,0.568,0.590400965,negative
467.2645,5.878,0.897,0.133228782,negative
468.0451,0.696,0.632,-0.49466243,negative
471.0822,3.708,0.0973,-1.829179002,negative
471.2417,6.297,0.704,0.391240183,negative
473.0995,3.464,0.632,0.494108147,negative
473.0996,2.932,0.769,0.302389635,negative
473.1448,4.73,0.944,-0.071923011,negative
475.0782,0.667,0.689,-0.411449771,negative
475.2184,5.932,0.565,0.595507933,negative
476.0359,3.919,0.982,-0.022527284,negative
477.1039,2.949,0.821,-0.232414869,negative
477.1039,4.686,0.0631,-2.090525079,negative
477.2332,5.701,0.853,-0.189698119,negative
479.0459,2.443,0.279,-1.145090379,negative
479.0465,3.005,0.481,-0.732025494,negative
479.0506,0.791,0.326,-1.032127703,negative
479.2283,5.383,0.65,-0.467368503,negative
480.0818,0.682,0.685,0.417743447,negative
480.1372,3.468,0.893,-0.138277498,negative
481.0163,4.286,0.862,0.177832675,negative
481.2073,5.68,0.215,1.323092006,negative
481.2439,5.242,0.563,-0.59841101,negative
482.2186,4.626,0.885,-0.14803352,negative
484.0498,2.566,0.417,-0.846428289,negative
485.0499,4.198,0.17,1.478948248,negative
485.0955,0.681,0.76,-0.313318835,negative
485.1661,4.43,0.844,0.20148964,negative
486.1199,5.689,0.927,0.094419574,negative
487.0759,2.632,0.204,-1.359166749,negative
489.0926,0.758,0.288,-1.121897143,negative
489.2111,3.578,0.352,-0.97553622,negative
489.2123,4.076,0.218,-1.315453232,negative
489.27,6.391,0.674,0.433326409,negative
489.27,6.555,0.795,0.266790125,negative
491.191,4.507,0.249,-1.225231971,negative
491.228,5.918,0.559,0.604287733,negative
491.2855,6.773,0.296,1.102745324,negative
492.1871,5.243,0.334,-1.015865245,negative
492.1884,4.319,0.227,-1.286250222,negative
493.0631,3.69,0.0407,-2.349189019,negative
493.0642,3.179,0.477,-0.739460695,negative
493.1666,4.573,9.79E-05,6.227473803,negative
493.228,4.95,0.703,0.391828877,negative
493.2439,6.516,0.291,1.114765139,negative
494.1144,0.666,0.429,-0.82338716,negative
495.1174,4.369,0.307,-1.076040781,negative
495.2227,4.812,0.631,-0.494849869,negative
495.2229,3.594,0.74,0.341293529,negative
495.2232,5.846,0.0762,1.977490353,negative
495.223,4.067,0.697,-0.400175634,negative
495.296,6.494,0.826,0.22559907,negative
496.198,6.048,0.933,0.086310519,negative
497.0695,3.785,1.16E-07,13.23504604,negative
497.2379,4.163,0.862,-0.178392233,negative
497.2751,5.86,0.669,-0.440067948,negative
499.0756,0.705,0.0724,-2.008251334,negative
500.1902,3.066,0.545,-0.626627781,negative
500.282,5.708,0.325,-1.03589807,negative
501.1339,4.505,0.695,-0.403063253,negative
501.2122,5.698,0.0962,-1.835862194,negative
502.1148,5.219,0.888,0.144636421,negative
502.2071,0.806,0.947,-0.067544177,negative
505.2452,7.002,0.0621,2.099394757,negative
507.2078,4.607,0.862,0.178007548,negative
507.2079,4.889,0.609,0.527985113,negative
507.2231,6.98,0.0929,-1.857623377,negative
509.0384,0.699,8.19E-06,8.337022198,negative
509.0409,3.291,1.55E-06,10.02414972,negative
509.0519,2.681,0.329,-1.025516078,negative
509.2379,5.991,0.89,-0.141314799,negative
509.2751,5.084,0.941,-0.075982749,negative
509.2751,6.332,0.84,0.206609843,negative
509.2752,5.821,0.97,0.038263347,negative
510.2524,6.169,0.701,0.394822777,negative
511.2181,5.843,0.132,1.638843326,negative
511.2544,5.206,0.8,0.25959107,negative
511.2909,6.014,0.874,0.162195053,negative
512.1916,6.018,0.844,-0.201605176,negative
512.2682,6.624,0.764,0.308427239,negative
513.0964,3.899,0.267,1.175977243,negative
514.136,3.993,0.194,1.392108707,negative
514.1681,4.367,0.281,-1.13897065,negative
514.1698,4.543,0.153,-1.545553422,negative
515.1648,5.296,0.244,-1.236636065,negative
517.0977,4.399,0.241,-1.247365891,negative
519.223,7.484,0.509,0.684722106,negative
521.1082,4.508,4.51E-05,6.840536791,negative
521.239,6.221,0.291,1.115475927,negative
524.0845,0.705,0.853,0.189980987,negative
525.0334,3.606,1.49E-06,10.06744586,negative
525.27,5.101,0.958,0.053908203,negative
526.0995,0.675,0.495,-0.708980582,negative
526.114,3.463,0.426,0.830316215,negative
526.2476,5.551,0.667,0.443629693,negative
528.2617,5.454,0.8,0.260641283,negative
528.2633,5.962,0.701,0.395022278,negative
529.121,5.76,0.639,0.483508378,negative
529.162,5.829,0.98,0.025463689,negative
531.0773,4.532,0.0699,2.029595086,negative
531.1447,4.141,0.83,0.21973559,negative
536.1898,4.583,0.971,-0.037867453,negative
539.1147,5.072,0.711,-0.381009554,negative
539.2494,4.677,0.537,-0.638743479,negative
541.1207,0.663,0.973,-0.034685536,negative
541.2651,4.526,0.413,-0.854021133,negative
541.2651,4.807,0.623,-0.506958978,negative
541.265,4.928,0.775,-0.293745749,negative
543.0792,0.704,0.434,0.815287334,negative
543.2074,5.421,0.191,-1.403385224,negative
544.1789,6.025,0.259,-1.197701807,negative
544.2886,5.154,0.764,-0.308316929,negative
547.1102,3.005,0.753,-0.323863611,negative
547.1106,0.67,0.339,-1.004659,negative
549.1196,2.793,0.649,-0.468808528,negative
549.1948,4.514,0.617,0.515476889,negative
549.1963,2.777,0.618,0.514729731,negative
550.1307,0.664,0.616,-0.517187988,negative
553.1926,5.396,0.113,1.73551529,negative
555.0787,2.996,0.165,-1.499895085,negative
557.2465,7.479,0.39,0.897792118,negative
559.1102,0.68,0.418,-0.844407714,negative
562.1922,4.035,0.728,-0.357191767,negative
563.1044,2.949,0.268,-1.17206233,negative
565.1557,4.485,0.729,0.355728602,negative
565.1563,4.799,0.79,0.273646477,negative
565.3012,5.907,0.695,0.40308286,negative
566.3329,6.114,0.718,0.371952504,negative
567.3168,5.938,0.809,0.24847525,negative
567.317,6.697,0.951,0.06298043,negative
569.0928,2.988,0.064,-2.081396657,negative
569.0956,3.38,0.449,-0.787092418,negative
569.1299,4.178,0.835,-0.21444824,negative
569.1307,3.754,0.757,-0.317655325,negative
569.1751,3.441,0.657,0.457084126,negative
571.1469,3.618,0.865,-0.174590623,negative
571.1476,4.081,0.569,-0.588188718,negative
572.1094,3.326,0.452,0.781722938,negative
572.2105,4.512,0.0118,-3.073439066,negative
572.2528,4.339,0.807,-0.250242807,negative
573.2393,7.26,0.95,0.064799766,negative
573.2395,6.305,0.948,0.066713525,negative
576.1317,0.792,0.733,-0.350367557,negative
576.1384,0.705,0.0108,-3.123051707,negative
577.1184,2.969,0.341,-0.999101803,negative
579.0457,0.796,0.874,0.163214161,negative
579.2066,4.211,0.063,-2.091597849,negative
580.1297,2.848,0.613,-0.522296272,negative
583.1089,3.742,0.686,-0.416580104,negative
583.3118,5.69,0.768,0.30293966,negative
583.3118,5.932,0.861,-0.179784786,negative
584.1374,3.972,0.667,0.443890967,negative
585.0184,3.643,0.136,1.619609206,negative
589.3024,5.037,0.55,-0.618368216,negative
590.1068,3.469,0.559,-0.604783549,negative
591.3184,5.021,0.591,0.554716169,negative
593.3333,5.048,0.591,0.55477294,negative
594.0962,3.363,0.789,0.274995139,negative
594.3642,5.768,0.505,0.691538929,negative
596.1248,2.733,0.504,-0.692697271,negative
600.2843,4.732,0.789,0.274303289,negative
601.2255,5.243,0.685,0.417576218,negative
605.1126,3.023,3.13E-05,7.143169581,negative
606.9991,3.815,0.807,0.251162824,negative
607.1267,3.483,0.316,-1.055031211,negative
608.1059,3.3,0.912,-0.113404873,negative
610.164,2.859,0.582,0.568456443,negative
611.069,3.647,0.589,-0.55806141,negative
611.1667,3.462,0.352,0.976294078,negative
613.3589,5.89,0.674,0.433085941,negative
617.1836,4.515,0.00117,4.484883029,negative
618.1838,3.802,0.546,-0.624281615,negative
618.1913,4.649,0.727,0.359078357,negative
623.0319,2.6,0.486,-0.722712555,negative
624.3385,6.01,0.74,0.341106726,negative
625.0354,3.814,0.425,0.831867948,negative
627.3743,6.176,0.628,-0.499233219,negative
629.3537,5.37,0.782,0.284557385,negative
636.1806,3.455,0.21,1.338853648,negative
639.0783,3.758,8.38E-06,8.315119514,negative
640.3332,4.371,0.42,-0.841042738,negative
640.3334,5.395,0.886,0.147045304,negative
645.1893,2.881,0.105,-1.782450861,negative
645.1896,3.451,0.952,-0.062048549,negative
649.0893,3.836,0.394,0.889814169,negative
651.3856,5.28,0.908,-0.118061062,negative
653.1834,2.294,0.569,-0.589588734,negative
659.2045,2.918,0.286,-1.126663957,negative
665.1832,2.777,0.522,-0.662813012,negative
665.1833,2.829,0.454,-0.778823889,negative
669.1448,2.74,0.614,0.520144898,negative
673.2558,7.365,0.748,0.33070312,negative
674.1395,3.477,0.782,0.284318356,negative
675.1222,2.643,0.613,0.521617194,negative
679.1625,3.856,0.66,-0.453242576,negative
680.165,3.608,0.67,-0.439482445,negative
680.2306,4.136,0.352,0.975729993,negative
681.2357,4.115,0.0488,2.242284693,negative
685.341,5.775,0.375,0.927560456,negative
690.3154,4.751,0.37,0.939483245,negative
691.3179,4.171,0.0271,-2.587561874,negative
741.1857,3.018,0.173,-1.468971182,negative
744.2193,2.763,0.939,0.078889474,negative
744.2195,3.468,0.761,0.312902467,negative
750.2363,3.468,0.731,0.354253658,negative
78.9585,0.702,0.364,0.951943939,negative
801.2549,4.519,0.183,1.429380874,negative
817.2886,4.438,0.259,-1.19554208,negative
845.2477,4.186,0.0582,-2.138351248,negative
853.2516,4.121,0.164,-1.503547897,negative
869.3936,6.15,0.298,-1.097269299,negative
889.161,3.783,0.554,-0.61277793,negative
908.2639,4.165,0.333,-1.017176451,negative
913.2118,3.895,0.163,-1.505029106,negative
951.181,3.008,0.507,-0.688663279,negative
973.198,3.133,0.186,-1.420751439,negative
100.0756,0.774,0.83,0.220571902,positive
1106.5217,3.833,0.819,-0.234508358,positive
111.0439,0.81,0.772,0.297075344,positive
111.044,2.998,0.782,0.284166148,positive
114.0669,0.645,0.363,0.952174775,positive
121.0283,0.799,0.602,-0.538129198,positive
121.0284,2.736,0.756,-0.319744108,positive
121.0284,3.033,0.893,0.13790821,positive
121.0284,3.689,0.78,0.287602967,positive
121.0646,4.206,0.3,1.092768498,positive
125.0597,3.726,0.766,-0.306207374,positive
131.0494,4.532,0.357,-0.966582795,positive
132.0444,0.791,0.724,0.36316205,positive
132.0768,0.656,0.183,1.42917099,positive
134.0601,3.31,0.51,0.683084278,positive
134.0963,0.777,0.712,0.380452373,positive
134.0964,2.689,0.971,0.037154458,positive
135.0441,3.831,0.069,-2.036570962,positive
136.0482,0.633,0.221,-1.305825297,positive
137.0597,3.062,0.241,-1.245212432,positive
137.0598,4.484,0.782,-0.284602848,positive
137.071,0.636,0.816,-0.239523913,positive
138.0551,0.654,0.448,-0.789035039,positive
138.0639,0.655,0.818,0.235977245,positive
139.0387,3.143,0.683,-0.420233552,positive
141.0659,0.655,0.64,0.481744669,positive
142.0862,0.71,0.0283,2.561154236,positive
144.0655,0.707,0.137,-1.617285982,positive
144.1023,0.656,0.077,-1.971236162,positive
144.1103,0.66,0.667,0.443431343,positive
144.1283,0.662,0.13,-1.651774753,positive
145.0648,5.215,0.119,-1.707041555,positive
146.0609,0.789,0.318,-1.051235919,positive
146.0614,2.317,0.396,-0.886279009,positive
146.0812,0.71,0.982,0.022522183,positive
148.1122,0.753,0.921,0.101166643,positive
148.112,2.583,0.87,0.168253258,positive
149.0596,0.765,0.363,-0.953848876,positive
149.0598,4.188,0.33,-1.023713272,positive
149.0598,7.95,0.744,-0.335584455,positive
152.0699,2.312,0.537,-0.63865085,positive
152.0705,2.812,0.68,-0.425063299,positive
152.07,0.791,0.708,-0.386082058,positive
153.0658,0.769,0.325,1.035417586,positive
153.0659,2.108,0.546,0.624216092,positive
156.0769,0.621,0.173,1.466904769,positive
159.1492,0.608,0.0139,2.976789157,positive
160.0405,2.57,0.527,0.65539273,positive
160.0967,0.691,0.0486,-2.244399286,positive
160.1332,0.662,0.943,-0.073396135,positive
162.1126,0.642,0.75,0.327967712,positive
163.0755,3.225,0.821,-0.231820643,positive
163.0993,3.595,0.842,0.204953208,positive
163.123,1.223,0.831,-0.219513132,positive
163.1243,0.654,0.392,0.89381052,positive
166.0723,0.669,0.801,-0.25836015,positive
166.0862,0.727,0.885,-0.148327763,positive
166.0863,2.395,0.927,-0.09403203,positive
166.1216,0.797,0.855,0.187526662,positive
166.1226,2.55,0.988,0.014823109,positive
166.131,0.809,0.984,-0.019955018,positive
167.0562,0.774,0.856,0.186546978,positive
167.0563,2.234,0.895,0.135430099,positive
167.0564,2.346,0.778,0.289901556,positive
167.0795,4.248,0.27,-1.16650406,positive
169.0358,1.154,0.772,-0.297784883,positive
170.0447,0.81,0.283,1.135382397,positive
170.0448,2.599,0.231,1.27530563,positive
170.0602,4.487,0.843,-0.203874951,positive
170.0631,0.751,0.185,1.424377393,positive
170.0926,0.62,0.057,2.151091828,positive
174.0873,0.814,0.226,1.289590608,positive
174.1237,2.04,0.221,-1.304976966,positive
175.1442,0.616,0.664,0.448178767,positive
176.0707,4.755,0.585,-0.56353047,positive
177.0546,3.653,0.24,-1.24978773,positive
177.102,0.741,0.7,-0.396989551,positive
177.1123,4.741,0.963,-0.047371285,positive
180.0658,2.895,0.433,-0.816248525,positive
180.0658,3.481,0.394,-0.890345056,positive
180.0739,3.473,0.371,-0.935933153,positive
181.0609,3.097,0.939,-0.078641982,positive
181.0704,2.671,0.922,0.099982283,positive
181.0717,0.801,0.816,0.238267779,positive
182.0715,2.896,0.248,-1.226422639,positive
183.0644,2.192,0.935,0.084100701,positive
183.0645,2.074,0.878,-0.158022701,positive
183.0655,4.503,0.988,0.014993682,positive
185.0912,0.756,0.582,0.569587122,positive
185.1284,0.796,0.499,0.701829166,positive
185.1284,2.751,0.773,0.296295219,positive
186.1124,4.054,0.2,-1.370884818,positive
189.1684,0.616,0.0605,2.114972208,positive
189.16,0.615,0.308,1.073055839,positive
190.0499,3.133,0.63,0.49676243,positive
191.1066,5.298,0.33,-1.023788217,positive
192.0659,4.563,0.0638,-2.084159184,positive
192.1052,3.316,0.063,2.091298787,positive
193.0968,0.764,0.23,1.279685977,positive
193.1547,0.646,0.623,-0.507485401,positive
195.0647,0.814,0.0695,-2.032638391,positive
195.0874,3.353,0.584,0.56644603,positive
196.0604,3.589,0.828,-0.222873281,positive
196.0604,4.033,0.78,-0.287450555,positive
196.0605,2.921,0.638,-0.484700307,positive
196.0693,3.577,0.581,-0.570443535,positive
199.0965,3.235,0.667,-0.442748162,positive
199.0965,3.748,0.774,-0.294567196,positive
199.1068,3.168,0.389,-0.900949443,positive
