m/z,rt,p-value,t-score,mode
377.0353,0.713,0.056,-2.16143587,negative
377.0526,0.697,0.0839,-1.919450161,negative
377.1019,5.09,0.505,0.692000741,negative
379.0336,0.708,0.753,0.323024994,negative
379.0338,3.038,0.366,0.947548683,negative
379.0686,0.661,0.32,-1.046680747,negative
379.0909,2.789,0.785,0.279689809,negative
379.091,3.484,0.966,0.043557211,negative
379.1393,5.891,0.54,-0.633823002,negative
379.1607,3.652,0.853,0.190672418,negative
379.1607,4.047,0.908,0.118406089,negative
379.1955,5.602,0.0558,-2.163195673,negative
380.0301,1.155,0.92,0.102497136,negative
381.0301,1.155,0.208,-1.345670668,negative
381.0802,3.385,0.641,0.480846893,negative
381.1551,6.237,0.681,-0.423967623,negative
382.9875,3.002,0.379,0.920878723,negative
383.0324,2.787,0.162,1.509411848,negative
383.0464,3.601,0.131,-1.643694629,negative
383.053,3.466,0.215,1.324089573,negative
383.0644,2.771,0.746,0.332802578,negative
383.1529,4.559,0.115,-1.726489147,negative
383.153,4.885,0.806,-0.251653272,negative
384.0537,2.335,0.14,1.600963535,negative
385.1498,5.181,0.533,0.64613707,negative
385.1685,4.355,0.0545,-2.177484296,negative
385.1861,4.524,0.756,0.318718664,negative
387.1489,5.77,0.487,0.721787989,negative
387.1658,5.117,0.652,-0.464936044,negative
388.047,2.937,0.249,1.225340321,negative
388.047,3.398,0.0988,1.82009186,negative
388.047,3.472,0.111,1.750398639,negative
389.0528,0.7,0.884,-0.149424705,negative
389.0919,4.531,0.632,-0.494017156,negative
389.0981,4.564,0.547,-0.622989194,negative
389.1038,0.786,0.458,-0.772225029,negative
389.1043,2.952,0.171,-1.476463202,negative
389.1814,5.311,0.907,0.119562024,negative
391.0332,0.698,0.116,-1.722492092,negative
391.0993,4.492,0.901,-0.127556215,negative
391.1124,0.79,0.222,-1.302373342,negative
391.1968,5.431,0.325,-1.034861038,negative
393.0495,3.605,4.49E-05,6.844579299,negative
393.0776,3.464,0.0139,-2.977352983,negative
393.2643,6.229,0.0111,-3.106031828,negative
394.06,0.685,0.721,-0.367629285,negative
395.0628,0.675,0.0513,-2.212625643,negative
395.0857,2.735,0.878,0.15789191,negative
395.0857,2.92,0.577,-0.576182089,negative
395.091,3.521,0.879,0.155623775,negative
395.1144,4.677,0.217,-1.316939055,negative
396.025,0.663,0.545,0.625888993,negative
396.0904,2.751,0.85,-0.193853305,negative
396.1124,4.459,0.0785,-1.95924336,negative
396.1279,4.011,0.564,0.596268333,negative
396.1297,3.506,0.0734,1.999894472,negative
397.0032,3.133,0.233,1.269628372,negative
397.0034,3.815,0.197,1.382064186,negative
397.0582,0.701,0.0139,-2.97708741,negative
397.1496,4.415,0.584,-0.565919564,negative
397.1911,4.067,0.234,-1.267173665,negative
398.0412,0.681,0.314,1.059467525,negative
399.0203,0.683,0.184,1.427869471,negative
399.1658,3.513,0.201,1.369367667,negative
400.1429,4.669,0.0394,-2.368662941,negative
401.1094,4.24,0.281,-1.140590746,negative
403.066,3.865,0.804,-0.255494807,negative
403.1019,5.042,0.0523,2.202062599,negative
403.1133,4.514,0.0178,-2.832927657,negative
403.1971,3.26,0.763,-0.309261587,negative
403.197,0.807,0.899,-0.130600258,negative
404.0395,3.379,0.481,0.732038019,negative
404.0405,3.511,0.316,1.055171097,negative
405.0285,0.72,0.822,-0.231344653,negative
405.0469,0.697,0.0376,-2.395438187,negative
405.0648,0.668,0.262,-1.189745069,negative
405.118,5.456,0.0266,-2.597199897,negative
405.1764,4.467,0.728,-0.357179281,negative
405.2644,6.291,0.603,0.537595402,negative
407.0405,4.991,0.0432,-2.314706069,negative
407.2799,5.411,0.0906,1.873049412,negative
407.2799,5.805,0.979,0.026557082,negative
407.2801,6.791,0.687,-0.414725161,negative
409.0428,0.71,0.124,-1.680607541,negative
411.0759,4.059,0.38,0.918669941,negative
411.0787,0.764,0.505,0.691964026,negative
411.1279,4.49,0.469,-0.753056558,negative
411.1654,4.559,0.503,-0.694645229,negative
411.2021,4.884,0.0391,-2.371909179,negative
411.2021,5.398,0.108,-1.762501174,negative
412.9977,3.204,0.0786,1.958595383,negative
413.1426,4.219,0.00577,-3.495667747,negative
413.1426,4.51,0.00305,-3.881705749,negative
413.1436,3.2,0.0463,-2.273781971,negative
413.144,3.692,0.0853,-1.909046244,negative
413.1993,5.357,0.272,1.161844111,negative
415.1607,0.797,0.0446,-2.295768093,negative
416.1536,5.683,0.268,-1.174015566,negative
417.1173,4.046,0.38,0.918718543,negative
417.1192,4.5,0.428,0.826992234,negative
417.2126,6.021,0.84,-0.207590605,negative
418.1123,0.717,0.131,-1.646517318,negative
418.1149,0.722,0.00314,-3.864201545,negative
418.1327,4.164,0.426,0.829974075,negative
419.1134,0.748,0.693,-0.406066641,negative
419.1155,2.861,0.326,-1.03271962,negative
419.2281,6.362,0.119,1.704017283,negative
421.0558,3.818,0.673,0.434531422,negative
421.0582,5.463,0.212,1.331994556,negative
421.9984,3.301,0.189,1.408883127,negative
422.0501,0.727,0.758,-0.316659086,negative
422.1067,0.783,0.472,0.746893411,negative
422.1084,2.915,0.206,-1.351996507,negative
423.0571,0.703,0.234,-1.266334998,negative
424.0493,0.721,0.0604,2.11591879,negative
425.145,4.374,0.117,-1.71319067,negative
427.0844,2.991,0.555,-0.610392791,negative
427.1967,4.894,0.116,-1.722088774,negative
427.197,3.64,0.0154,-2.915237167,negative
427.197,4.049,0.0117,-3.079158899,negative
428.0941,2.98,0.736,0.346065919,negative
428.0955,4.037,0.293,1.109291872,negative
428.0976,3.601,0.74,-0.341109236,negative
429.0423,3.352,0.882,0.151980595,negative
429.0815,4.032,9.46E-07,10.57962044,negative
429.082,3.756,5.58E-07,11.19791342,negative
429.083,3.201,1.13E-06,10.3764677,negative
429.1762,5.798,0.0311,2.506596978,negative
431.0534,0.666,0.0179,-2.827705732,negative
431.0979,3.907,9.66E-07,10.55563022,negative
432.1213,3.706,0.413,-0.854890075,negative
433.0646,4.045,0.00117,4.483248322,negative
433.1136,4.519,7.51E-04,4.775541057,negative
433.113,4.886,7.60E-07,10.83276733,negative
433.2076,5.283,0.366,0.945986687,negative
433.2077,4.995,0.971,-0.03768331,negative
434.1396,3.922,0.0272,-2.584975785,negative
435.2232,5.611,0.411,0.858839536,negative
437.0497,3.488,0.963,0.047735975,negative
437.0526,5.832,0.0284,2.560460627,negative
437.18,7.078,0.0707,2.022704755,negative
439.056,0.753,0.912,-0.112715279,negative
439.1146,6.219,0.407,-0.865448718,negative
439.1607,4.307,0.719,0.36944722,negative
439.1608,3.725,0.852,0.191886982,negative
439.1608,4.66,0.675,0.431746074,negative
441.0612,2.876,0.704,0.390486283,negative
441.1026,3.212,0.386,-0.905821705,negative
442.19,5.313,0.544,-0.627946319,negative
443.1557,5.98,0.204,1.358041141,negative
445.0782,4.484,2.34E-05,7.392075031,negative
445.0903,0.667,0.518,-0.670112989,negative
445.1072,3.893,0.875,-0.161181685,negative
446.1795,4.499,0.686,0.416668768,negative
446.1831,4.341,0.801,0.259385074,negative
446.2907,6.081,0.171,1.474939569,negative
446.2908,6.024,0.0923,1.861109786,negative
446.2909,6.562,0.533,0.645641229,negative
447.0919,4.504,0.0177,2.835809037,negative
447.0921,4.067,0.016,2.895355088,negative
447.0928,3.777,1.59E-04,5.862939641,negative
447.092,4.187,0.0082,3.286365523,negative
448.1961,5.778,0.346,0.98951185,negative
448.1966,4.911,0.284,-1.132441637,negative
448.3058,6.47,0.845,0.200687133,negative
449.0698,2.589,0.0215,2.722287388,negative
449.1074,4.301,1.94E-04,5.717156826,negative
449.254,8.044,0.0305,-2.516931888,negative
457.0689,0.726,0.187,-1.417737439,negative
457.0963,2.367,0.334,-1.014923105,negative
457.097,2.652,0.993,-0.008546736,negative
457.2207,6.206,0.153,-1.548509815,negative
458.9733,3.815,0.187,1.415723461,negative
459.0843,2.964,0.0348,2.440971129,negative
459.0924,4.452,0.308,-1.073956188,negative
459.093,3.801,1.91E-08,15.97524757,negative
459.1504,4.33,0.121,1.694340811,negative
459.1629,2.778,0.737,-0.345086185,negative
461.0863,3.571,0.462,-0.765644293,negative
461.1337,5.706,0.695,-0.403924641,negative
461.2388,5.842,0.624,0.506360499,negative
462.1766,4.998,0.286,-1.126578338,negative
463.0831,5.418,0.0712,-2.018092429,negative
463.2334,5.897,0.0142,-2.964802599,negative
464.0663,2.822,0.656,-0.458645892,negative
464.1436,2.856,0.249,1.223040895,negative
464.1437,2.772,0.424,0.834181271,negative
464.1437,2.808,0.228,1.283772365,negative
464.1438,3.474,0.39,0.897676808,negative
465.0845,4.208,0.00567,-3.506125419,negative
465.2493,6.146,0.0398,-2.362648081,negative
467.1506,5.777,0.284,-1.131411113,negative
467.1919,5.446,0.693,-0.406456953,negative
467.2645,5.878,0.166,-1.49326467,negative
468.0451,0.696,0.336,1.010048778,negative
471.0822,3.708,0.598,-0.54516015,negative
471.2417,6.297,0.329,1.026899273,negative
473.0995,3.464,0.13,1.652199767,negative
473.0996,2.932,0.158,1.526200339,negative
473.1448,4.73,0.688,0.413587338,negative
475.0782,0.667,0.0327,-2.477008549,negative
475.2184,5.932,0.502,0.696188781,negative
476.0359,3.919,0.882,0.152776168,negative
477.1039,2.949,0.279,1.145561949,negative
477.1039,4.686,0.00141,-4.364231692,negative
477.2332,5.701,0.356,0.967761938,negative
479.0459,2.443,0.702,-0.394125585,negative
479.0465,3.005,0.832,0.218403968,negative
479.0506,0.791,0.9,0.128505102,negative
479.2283,5.383,0.362,-0.955558404,negative
480.0818,0.682,0.25,-1.222446899,negative
480.1372,3.468,0.0645,2.077512223,negative
481.0163,4.286,0.508,-0.68719351,negative
481.2073,5.68,0.311,1.066233304,negative
481.2439,5.242,0.112,-1.742639162,negative
482.2186,4.626,0.0974,1.828845244,negative
484.0498,2.566,0.727,0.359593615,negative
485.0499,4.198,0.632,0.49393855,negative
485.0955,0.681,0.64,-0.48277055,negative
485.1661,4.43,0.55,-0.618211865,negative
486.1199,5.689,0.267,1.176169843,negative
487.0759,2.632,0.591,-0.554696987,negative
489.0926,0.758,0.917,-0.107522165,negative
489.2111,3.578,0.0588,-2.132107469,negative
489.2123,4.076,0.0609,-2.111670219,negative
489.27,6.391,0.342,0.997439972,negative
489.27,6.555,0.471,0.749974965,negative
491.191,4.507,0.0609,-2.111867262,negative
491.228,5.918,0.557,0.607698557,negative
491.2855,6.773,0.58,0.572647648,negative
492.1871,5.243,0.168,-1.48478591,negative
492.1884,4.319,0.0319,-2.491375159,negative
493.0631,3.69,0.0438,-2.305521272,negative
493.0642,3.179,0.312,-1.064007851,negative
493.1666,4.573,6.98E-04,4.823781192,negative
493.228,4.95,0.44,-0.804892501,negative
493.2439,6.516,0.799,-0.261289392,negative
494.1144,0.666,0.565,0.59536313,negative
495.1174,4.369,0.571,-0.585907391,negative
495.2227,4.812,0.904,-0.123367608,negative
495.2229,3.594,0.806,-0.252095728,negative
495.2232,5.846,0.00455,3.638677402,negative
495.223,4.067,0.859,0.181776766,negative
495.296,6.494,0.454,-0.778157969,negative
496.198,6.048,0.519,-0.668451068,negative
497.0695,3.785,1.81E-05,7.612692528,negative
497.2379,4.163,0.446,-0.793195874,negative
497.2751,5.86,0.956,0.056643242,negative
499.0756,0.705,0.467,-0.755861197,negative
500.1902,3.066,0.348,0.985605229,negative
500.282,5.708,0.348,0.983767658,negative
501.1339,4.505,0.929,-0.091523595,negative
501.2122,5.698,0.0294,-2.539997368,negative
502.1148,5.219,0.866,0.173656109,negative
502.2071,0.806,0.352,0.976178266,negative
505.2452,7.002,0.716,0.37380347,negative
507.2078,4.607,0.21,-1.340570077,negative
507.2079,4.889,0.213,-1.331644533,negative
507.2231,6.98,0.227,-1.287807473,negative
509.0384,0.699,7.15E-06,8.465811535,negative
509.0409,3.291,9.11E-08,13.57212446,negative
509.0519,2.681,0.667,0.443306069,negative
509.2379,5.991,0.684,-0.419350376,negative
509.2751,5.084,0.111,-1.748964174,negative
509.2751,6.332,0.182,-1.436023463,negative
509.2752,5.821,0.04,-2.359686359,negative
510.2524,6.169,0.374,-0.929719979,negative
511.2181,5.843,0.174,1.462288367,negative
511.2544,5.206,0.163,1.505452631,negative
511.2909,6.014,0.2,-1.372256925,negative
512.1916,6.018,0.146,-1.577232365,negative
512.2682,6.624,0.23,1.278544454,negative
513.0964,3.899,0.248,1.225507732,negative
514.136,3.993,0.148,1.568117206,negative
514.1681,4.367,0.189,-1.409157309,negative
514.1698,4.543,0.0504,-2.223635443,negative
515.1648,5.296,0.319,-1.048360593,negative
517.0977,4.399,0.113,-1.736939478,negative
519.223,7.484,0.992,-0.010080835,negative
521.1082,4.508,1.05E-04,6.174921277,negative
521.239,6.221,0.474,0.744123874,negative
524.0845,0.705,0.822,0.231128356,negative
525.0334,3.606,1.02E-06,10.48881069,negative
525.27,5.101,0.216,-1.319978636,negative
526.0995,0.675,0.352,0.976012089,negative
526.114,3.463,0.712,0.380283834,negative
526.2476,5.551,0.169,-1.482469189,negative
528.2617,5.454,0.943,0.07336698,negative
528.2633,5.962,0.0407,-2.348739804,negative
529.121,5.76,0.629,-0.498814516,negative
529.162,5.829,0.637,0.486178938,negative
531.0773,4.532,0.0524,2.200047288,negative
531.1447,4.141,0.825,-0.227022349,negative
536.1898,4.583,0.657,0.45815391,negative
539.1147,5.072,0.791,0.271904114,negative
539.2494,4.677,0.119,-1.707164386,negative
541.1207,0.663,0.452,-0.782428156,negative
541.2651,4.526,0.0658,-2.065367823,negative
541.2651,4.807,0.125,-1.673041875,negative
541.265,4.928,0.206,-1.350908094,negative
543.0792,0.704,0.724,0.363776126,negative
543.2074,5.421,0.469,-0.753092371,negative
544.1789,6.025,0.517,-0.671439069,negative
544.2886,5.154,0.861,0.180193213,negative
547.1102,3.005,0.454,-0.779269492,negative
547.1106,0.67,0.0835,-1.92197261,negative
549.1196,2.793,0.491,0.71451981,negative
549.1948,4.514,0.593,-0.551631073,negative
549.1963,2.777,0.0784,1.960310247,negative
550.1307,0.664,0.0391,-2.372317921,negative
553.1926,5.396,0.547,-0.623558994,negative
555.0787,2.996,0.929,-0.090793414,negative
557.2465,7.479,0.0768,1.972783819,negative
559.1102,0.68,0.766,-0.305215297,negative
562.1922,4.035,0.491,-0.714978144,negative
563.1044,2.949,0.103,-1.793043332,negative
565.1557,4.485,0.724,0.362795185,negative
565.1563,4.799,0.538,0.637016837,negative
565.3012,5.907,0.263,1.186852429,negative
566.3329,6.114,0.479,-0.735996264,negative
567.3168,5.938,0.975,-0.032676542,negative
567.317,6.697,0.744,-0.335085882,negative
569.0928,2.988,0.954,-0.058627402,negative
569.0956,3.38,0.66,0.453957577,negative
569.1299,4.178,0.743,0.33701984,negative
569.1307,3.754,0.175,-1.461486738,negative
569.1751,3.441,0.0868,1.89908477,negative
571.1469,3.618,0.157,-1.530241663,negative
571.1476,4.081,0.699,-0.398107721,negative
572.1094,3.326,0.369,-0.940721821,negative
572.2105,4.512,0.03,-2.527124642,negative
572.2528,4.339,0.0212,-2.731113846,negative
573.2393,7.26,0.0671,-2.053985731,negative
573.2395,6.305,0.492,0.713425212,negative
576.1317,0.792,0.0598,-2.122227382,negative
576.1384,0.705,0.00169,-4.248667661,negative
577.1184,2.969,0.699,-0.397480775,negative
579.0457,0.796,0.258,1.200433077,negative
579.2066,4.211,0.0238,-2.663536757,negative
580.1297,2.848,0.508,0.68612023,negative
583.1089,3.742,0.911,-0.11405009,negative
583.3118,5.69,0.605,-0.534535876,negative
583.3118,5.932,0.711,-0.381658985,negative
584.1374,3.972,0.372,0.934890791,negative
585.0184,3.643,0.142,1.59554129,negative
589.3024,5.037,0.365,0.949826456,negative
590.1068,3.469,0.212,1.333417691,negative
591.3184,5.021,0.0192,2.786554014,negative
593.3333,5.048,0.00673,3.403898754,negative
594.0962,3.363,0.595,0.548863376,negative
594.3642,5.768,0.0927,1.858880644,negative
596.1248,2.733,0.984,0.020564464,negative
600.2843,4.732,0.22,-1.309181867,negative
601.2255,5.243,0.382,-0.914618337,negative
605.1126,3.023,1.88E-05,7.581454742,negative
606.9991,3.815,0.319,1.048811647,negative
607.1267,3.483,0.864,-0.175229569,negative
608.1059,3.3,0.246,-1.231902074,negative
610.164,2.859,0.0963,1.835729641,negative
611.069,3.647,0.979,0.026676623,negative
611.1667,3.462,0.686,0.415612063,negative
613.3589,5.89,0.0293,-2.541284857,negative
617.1836,4.515,0.00101,4.577882879,negative
618.1838,3.802,0.993,-0.00859382,negative
618.1913,4.649,0.785,0.280663599,negative
623.0319,2.6,0.66,0.452942304,negative
624.3385,6.01,0.755,-0.32085183,negative
625.0354,3.814,0.157,1.530142906,negative
627.3743,6.176,0.17,-1.478358788,negative
629.3537,5.37,0.132,-1.641459639,negative
636.1806,3.455,0.911,-0.114563696,negative
639.0783,3.758,2.19E-05,7.448941625,negative
640.3332,4.371,0.261,-1.190097677,negative
640.3334,5.395,0.275,1.155365369,negative
645.1893,2.881,0.606,0.53232942,negative
645.1896,3.451,0.715,0.375204229,negative
649.0893,3.836,0.162,1.509243773,negative
651.3856,5.28,0.593,-0.551422013,negative
653.1834,2.294,0.342,0.998018228,negative
659.2045,2.918,0.421,-0.838740938,negative
665.1832,2.777,0.661,0.451515816,negative
665.1833,2.829,0.504,0.69238982,negative
669.1448,2.74,0.164,1.500072313,negative
673.2558,7.365,0.444,-0.796577969,negative
674.1395,3.477,0.124,1.678883545,negative
675.1222,2.643,0.299,-1.095891502,negative
679.1625,3.856,0.106,-1.778853388,negative
680.165,3.608,0.636,-0.487630538,negative
680.2306,4.136,0.348,0.985593917,negative
681.2357,4.115,0.289,1.119941146,negative
685.341,5.775,0.851,-0.193276957,negative
690.3154,4.751,0.095,1.843843195,negative
691.3179,4.171,0.0211,-2.733884404,negative
741.1857,3.018,0.346,-0.989427833,negative
744.2193,2.763,0.313,1.06175452,negative
744.2195,3.468,0.246,1.231649017,negative
750.2363,3.468,0.15,1.558083419,negative
78.9585,0.702,0.574,0.581427676,negative
801.2549,4.519,0.5,0.700278613,negative
817.2886,4.438,0.417,-0.846953084,negative
845.2477,4.186,0.128,-1.659382463,negative
853.2516,4.121,0.305,-1.081183989,negative
869.3936,6.15,0.338,-1.005667681,negative
889.161,3.783,0.35,0.979552212,negative
908.2639,4.165,0.346,-0.989427833,negative
913.2118,3.895,0.337,-1.009165,negative
951.181,3.008,0.343,0.995642258,negative
973.198,3.133,0.334,-1.015128896,negative
100.0756,0.774,0.149,-1.577537503,positive
1106.5217,3.833,0.453,-0.784064244,positive
111.0439,0.81,0.782,-0.284662594,positive
111.044,2.998,0.096,-1.858876206,positive
114.0669,0.645,0.807,-0.251697535,positive
121.0283,0.799,0.99,0.012841324,positive
121.0284,2.736,0.716,0.376132579,positive
121.0284,3.033,0.503,-0.698492786,positive
121.0284,3.689,0.00665,3.506953151,positive
121.0646,4.206,0.0073,3.44814046,positive
125.0597,3.726,0.931,0.089567276,positive
131.0494,4.532,0.546,-0.627018318,positive
132.0444,0.791,0.327,1.036307883,positive
132.0768,0.656,0.217,1.328496939,positive
134.0601,3.31,0.297,1.108121004,positive
134.0963,0.777,0.929,-0.091369133,positive
134.0964,2.689,0.262,-1.196475458,positive
135.0441,3.831,0.022,-2.763581753,positive
136.0482,0.633,0.87,-0.167737129,positive
137.0597,3.062,0.482,-0.732864694,positive
137.0598,4.484,0.159,1.534618616,positive
137.071,0.636,0.601,0.542556186,positive
138.0551,0.654,0.0223,2.755011102,positive
138.0639,0.655,0.825,-0.227664035,positive
139.0387,3.143,0.864,-0.175850191,positive
141.0659,0.655,0.86,0.181413923,positive
142.0862,0.71,0.84,-0.207388231,positive
144.0655,0.707,0.0599,-2.151828572,positive
144.1023,0.656,0.0162,-2.952372384,positive
144.1103,0.66,0.382,-0.919651975,positive
144.1283,0.662,0.0565,-2.186864053,positive
145.0648,5.215,0.0259,-2.664026069,positive
146.0609,0.789,0.616,-0.519456399,positive
146.0614,2.317,0.573,0.58476882,positive
146.0812,0.71,0.719,-0.371342012,positive
148.1122,0.753,0.634,-0.493252936,positive
148.112,2.583,0.556,0.61089205,positive
149.0596,0.765,0.235,-1.273798596,positive
149.0598,4.188,0.691,-0.410667759,positive
149.0598,7.95,0.827,-0.225207193,positive
152.0699,2.312,0.244,1.246215798,positive
152.0705,2.812,0.239,1.260772732,positive
152.07,0.791,0.247,1.23769016,positive
153.0658,0.769,0.884,0.149806157,positive
153.0659,2.108,0.549,0.62282332,positive
156.0769,0.621,0.747,-0.332042562,positive
159.1492,0.608,0.0721,-2.03732964,positive
160.0405,2.57,0.236,1.270380373,positive
160.0967,0.691,0.0045,-3.757371299,positive
160.1332,0.662,0.656,-0.46095221,positive
162.1126,0.642,0.802,0.257619984,positive
163.0755,3.225,0.81,-0.247226782,positive
163.0993,3.595,0.132,1.655347184,positive
163.123,1.223,0.452,-0.786804585,positive
163.1243,0.654,0.697,-0.402102668,positive
166.0723,0.669,0.222,-1.312207152,positive
166.0862,0.727,0.354,-0.976942589,positive
166.0863,2.395,0.0481,-2.28573566,positive
166.1216,0.797,0.414,0.8572859,positive
166.1226,2.55,0.858,0.18374401,positive
166.131,0.809,0.302,-1.095382612,positive
167.0562,0.774,0.215,-1.335437713,positive
167.0563,2.234,0.084,-1.942637867,positive
167.0564,2.346,0.301,-1.097600255,positive
167.0795,4.248,0.986,-0.018132578,positive
169.0358,1.154,0.571,-0.587310072,positive
170.0447,0.81,0.0781,1.987533699,positive
170.0448,2.599,0.0615,2.134813217,positive
170.0602,4.487,0.585,0.565633333,positive
170.0631,0.751,0.726,0.361336919,positive
170.0926,0.62,0.791,-0.272911596,positive
174.0873,0.814,0.108,1.783265059,positive
174.1237,2.04,0.802,0.25881718,positive
175.1442,0.616,0.673,0.435852961,positive
176.0707,4.755,0.208,1.355619512,positive
177.0546,3.653,0.465,-0.762395093,positive
177.102,0.741,0.89,-0.142443442,positive
177.1123,4.741,0.494,-0.713530651,positive
180.0658,2.895,0.474,0.74725566,positive
180.0658,3.481,0.633,0.494403329,positive
180.0739,3.473,0.967,-0.042455686,positive
181.0609,3.097,0.104,-1.806730425,positive
181.0704,2.671,0.515,-0.678113153,positive
181.0717,0.801,0.866,-0.173360447,positive
182.0715,2.896,0.946,0.069579298,positive
183.0644,2.192,0.79,-0.273723154,positive
183.0645,2.074,0.969,-0.040396941,positive
183.0655,4.503,0.138,1.629380776,positive
185.0912,0.756,0.719,-0.371415613,positive
185.1284,0.796,0.775,0.294632712,positive
185.1284,2.751,0.698,-0.400060146,positive
186.1124,4.054,0.2,-1.384688623,positive
189.1684,0.616,0.368,0.948684894,positive
189.16,0.615,0.608,-0.531165738,positive
190.0499,3.133,0.0417,-2.3737361,positive
191.1066,5.298,0.752,-0.325345241,positive
192.0659,4.563,0.357,-0.971749645,positive
192.1052,3.316,0.847,-0.198194109,positive
193.0968,0.764,0.612,0.526128015,positive
193.1547,0.646,0.763,0.310789332,positive
195.0647,0.814,0.054,-2.214713524,positive
195.0874,3.353,0.938,-0.080585428,positive
196.0604,3.589,0.00993,3.253929325,positive
196.0604,4.033,0.0643,2.107319532,positive
196.0605,2.921,0.345,-0.996824356,positive
196.0693,3.577,0.112,1.761080974,positive
199.0965,3.235,0.788,-0.276828446,positive
199.0965,3.748,0.951,-0.063482686,positive
199.1068,3.168,0.363,-0.957471886,positive
