m/z,rt,p-value,t-score,mode
199.1069,3.734,0.691,0.410524062,positive
200.1281,5.02,0.128,-1.677008065,positive
202.1437,5.378,0.335,1.018076486,positive
203.0814,0.73,0.748,-0.330647194,positive
203.139,0.665,0.184,1.437557541,positive
203.1502,0.654,0.319,-1.054502814,positive
204.1231,0.665,0.575,0.581467721,positive
204.1231,1.146,0.822,0.231165812,positive
205.0971,2.931,0.493,-0.714067236,positive
205.097,0.801,0.0433,-2.350230176,positive
210.0607,1.159,0.593,-0.554065566,positive
213.0757,3.832,0.432,-0.823199784,positive
213.076,4.23,0.137,-1.634714638,positive
213.1234,0.672,0.885,0.149376377,positive
215.0163,0.719,0.975,-0.031730265,positive
217.118,0.7,0.602,0.540327582,positive
217.1547,0.664,0.0546,2.207753363,positive
218.0426,0.785,0.29,1.124684126,positive
218.1384,6.89,0.216,-1.330731206,positive
218.1386,2.048,0.941,0.076568086,positive
219.1705,0.65,0.016,-2.957049896,positive
220.0637,0.707,0.602,0.541056011,positive
220.0638,2.227,0.358,0.967879941,positive
220.1178,2.562,0.141,-1.615273244,positive
220.1179,0.735,0.0365,-2.453539896,positive
220.1367,4.453,0.862,-0.178425003,positive
222.1126,4.749,0.143,1.602852525,positive
224.056,3.685,0.569,-0.591064523,positive
226.071,3.019,0.984,-0.020455794,positive
226.9516,0.553,0.653,-0.464969946,positive
227.1026,2.542,0.58,-0.574140451,positive
229.0704,2.103,0.221,-1.316554498,positive
229.0982,5.024,0.188,1.423553298,positive
229.1182,0.667,0.941,-0.076081423,positive
229.1547,1.206,0.314,-1.06709608,positive
229.1547,1.899,0.136,-1.63852954,positive
229.1547,2.116,0.351,-0.983852836,positive
229.1549,0.669,0.454,0.782064853,positive
230.1106,4.213,0.076,2.004164185,positive
230.9902,0.718,0.501,0.700997369,positive
231.1009,6.633,0.361,0.962792951,positive
232.0264,2.519,0.214,1.336231191,positive
232.1543,0.707,0.31,1.075597194,positive
232.1544,2.651,0.358,0.96905673,positive
234.1122,4.883,2.94E-07,13.42956934,positive
235.0574,3.619,0.239,-1.262377555,positive
237.1232,2.723,0.928,0.092522925,positive
239.1389,4.617,0.122,1.705172325,positive
240.0954,4.039,0.647,-0.47326759,positive
240.1607,5.206,0.0768,1.997854484,positive
241.1546,1.985,0.145,-1.594776828,positive
242.1115,4.496,0.161,-1.52835998,positive
242.1325,4.563,0.401,-0.882217571,positive
242.1417,4.559,0.0965,1.855294509,positive
242.1504,4.993,0.168,1.497537273,positive
243.0877,4.57,0.408,-0.868149992,positive
243.1339,3.536,0.918,-0.105455633,positive
244.1269,4.537,0.258,1.206433377,positive
244.1542,0.804,0.559,-0.606318952,positive
244.1542,3.098,0.162,-1.525132818,positive
244.1711,3.868,0.176,-1.467685871,positive
245.0798,4.776,0.52,0.670197036,positive
245.1494,3.787,0.971,-0.037283388,positive
245.1495,3.326,0.895,-0.135407085,positive
246.0972,2.12,0.285,-1.137755913,positive
246.1699,0.806,0.913,0.112763357,positive
246.17,3.238,0.906,0.121785358,positive
247.1076,4.297,0.0151,2.992687453,positive
247.1078,4.488,0.759,-0.316529607,positive
247.1288,0.789,0.662,0.45136467,positive
247.1424,0.808,0.792,0.272008612,positive
247.1441,3.239,0.467,-0.759197948,positive
248.1679,5.389,0.654,-0.464083272,positive
249.0966,4.117,0.0734,-2.02647873,positive
250.1107,3.546,1.13E-06,11.47431313,positive
251.1276,5.991,0.0748,2.014278725,positive
254.1398,5.274,0.811,0.246587736,positive
254.1765,6.358,0.453,0.784208598,positive
255.0655,5.039,6.00E-06,9.395940492,positive
256.1666,4.784,0.454,-0.781728164,positive
257.1494,3.646,0.754,-0.32301295,positive
257.1495,4.039,0.903,-0.1257751,positive
257.153,5.622,0.562,-0.602183604,positive
257.2261,6.012,0.12,-1.71797022,positive
258.1241,0.69,0.907,-0.120610457,positive
258.1269,3.305,0.353,-0.979555468,positive
258.128,4.17,0.827,-0.224773313,positive
258.1827,3.513,0.59,-0.559419206,positive
258.1834,4.934,0.313,1.06849304,positive
258.1848,3.943,0.726,0.361765884,positive
258.1947,3.931,0.405,0.873537855,positive
259.1651,4.324,0.67,-0.44024252,positive
260.1492,2.107,0.701,0.396356815,positive
261.1442,0.8,0.77,-0.301992441,positive
261.1443,3.263,0.418,-0.848238248,positive
261.1443,3.733,0.188,-1.422872711,positive
262.1648,2.169,0.222,-1.312176116,positive
263.0816,7.148,0.498,-0.706700973,positive
263.1025,3.498,0.14,-1.616844727,positive
265.1191,2.889,0.151,1.569463178,positive
265.1195,3.466,0.134,1.645851817,positive
265.1278,3.383,0.183,1.443848656,positive
265.1556,3.46,0.0784,1.985530916,positive
266.1022,3.875,0.309,1.079188536,positive
266.1357,3.432,0.904,-0.124593935,positive
266.1362,3.431,0.579,0.57534211,positive
267.1329,3.967,0.916,-0.108028638,positive
267.1335,4.316,0.938,-0.0801591,positive
269.1244,0.667,0.995,0.00644108,positive
270.183,4.814,0.493,-0.714893463,positive
271.0596,4.449,1.33E-08,19.14611189,positive
271.0753,2.433,0.447,0.794590975,positive
271.0761,0.756,0.302,1.094921653,positive
271.1653,4.288,0.423,-0.839480093,positive
271.1656,4.57,0.478,-0.740666304,positive
272.1663,5.352,0.478,0.739924889,positive
272.1855,3.975,0.00289,-4.048822938,positive
272.2044,4.93,0.976,-0.030772817,positive
272.2049,4.967,0.875,0.162219703,positive
272.2382,4.968,0.452,-0.786962677,positive
273.2384,4.97,0.489,0.721134179,positive
274.1181,0.778,0.00349,3.923103537,positive
274.1778,4.235,0.326,1.038880437,positive
274.1833,5.809,0.654,-0.463432828,positive
274.2013,4.449,0.914,-0.111328896,positive
274.2138,4.28,0.925,-0.097118,positive
276.1366,0.762,0.492,-0.716614661,positive
276.1375,2.825,0.566,-0.595207948,positive
276.1442,0.669,0.764,0.30908159,positive
276.1442,2.061,0.257,-1.211366598,positive
276.1991,6.202,0.143,-1.603443749,positive
277.1173,0.79,0.114,1.751688591,positive
277.1432,7.079,0.356,0.973362155,positive
278.1335,0.718,0.973,-0.034887281,positive
279.1317,4.044,0.336,-1.016280892,positive
279.1332,3.64,0.846,0.199372011,positive
280.1543,3.604,0.823,0.23022843,positive
281.1128,0.728,0.352,0.980644802,positive
281.1128,0.765,0.0838,1.943503434,positive
281.1131,3.801,0.945,-0.071341463,positive
281.113,2.62,0.505,-0.694811012,positive
281.113,3.046,0.783,0.284106462,positive
282.1196,1.153,0.244,-1.246155807,positive
283.1287,4.036,0.399,-0.884914241,positive
284.092,3.463,0.0156,2.975037599,positive
284.1855,4.179,0.394,-0.89592353,positive
285.1441,0.774,0.794,-0.269366527,positive
285.1804,5.23,0.31,-1.076836845,positive
286.1284,2.172,0.999,0.001624492,positive
286.1445,2.886,0.446,-0.797540925,positive
286.1792,4.126,0.969,0.040379782,positive
286.2019,4.654,0.514,-0.678571642,positive
286.2113,4.609,0.296,-1.108490342,positive
287.1002,2.762,0.142,1.607862696,positive
287.1003,2.867,0.0604,2.145808119,positive
287.1004,3.467,0.0562,2.190932462,positive
287.1598,0.805,0.476,-0.743468191,positive
287.1967,0.655,0.0295,-2.584263199,positive
288.1616,4.254,0.72,-0.369658544,positive
288.1937,3.464,0.554,0.614540182,positive
288.1983,5.173,0.0601,2.149293385,positive
288.2168,4.83,0.81,-0.247612473,positive
288.2295,5.182,0.765,-0.308707916,positive
289.1393,3.497,0.56,0.605379359,positive
290.1419,5.181,0.0333,-2.510709692,positive
290.1595,0.783,0.125,1.690711206,positive
290.1597,2.525,0.829,0.222430263,positive
290.1739,3.326,0.371,0.940927079,positive
292.1575,3.656,3.84E-05,7.463240777,positive
293.1465,4.573,0.00235,-4.186535431,positive
295.048,2.58,0.288,1.128464177,positive
295.1284,0.813,0.506,0.693137159,positive
295.1287,3.186,0.689,0.413032677,positive
296.1492,2.896,0.826,-0.225829766,positive
296.1628,4.092,0.614,0.522210942,positive
297.1443,3.938,0.496,0.709614847,positive
300.199,6.283,0.247,-1.236959027,positive
300.2168,5.214,0.859,0.1831872,positive
300.217,5.005,0.525,-0.660898171,positive
301.1221,3.855,0.536,0.643353876,positive
301.1391,0.795,0.414,-0.857254065,positive
302.1232,3.89,0.204,1.370707751,positive
302.1418,0.788,0.533,-0.64821829,positive
302.1423,3.205,0.41,0.864621043,positive
302.1728,6.009,0.723,0.365488583,positive
302.1959,0.798,0.743,-0.338022312,positive
302.196,3.701,0.927,-0.094748109,positive
302.2329,5.39,0.933,-0.086359134,positive
302.2435,5.373,0.648,0.471549871,positive
302.2687,5.39,0.781,0.28681429,positive
303.0741,3.467,0.00891,3.322301498,positive
303.0862,4.684,0.00523,-3.66011107,positive
303.1704,6.179,0.759,0.315750973,positive
304.129,3.192,0.809,0.249373594,positive
304.129,3.69,0.804,0.25620777,positive
304.15,0.797,0.65,0.469751789,positive
304.1925,4.641,0.59,0.559040102,positive
304.2117,4.122,0.873,-0.164734562,positive
305.0863,2.684,0.0114,3.169463005,positive
305.0865,0.744,0.0107,3.2051501,positive
305.1857,4.623,0.0957,1.860620935,positive
306.1703,4.74,0.0265,-2.650063251,positive
307.1221,2.208,0.25,-1.230950342,positive
307.2,5.592,0.576,0.580320192,positive
308.168,5.004,0.146,1.589998851,positive
308.1854,4.932,0.358,-0.969701649,positive
308.1987,4.967,0.301,-1.096515904,positive
308.2029,4.983,0.555,0.613361985,positive
309.1689,5.025,0.493,0.714257304,positive
310.1653,3.385,0.857,0.185845352,positive
310.2375,5.158,0.789,-0.27627374,positive
311.1488,4.505,0.0182,-2.87858923,positive
311.1563,5.057,0.13,1.666743169,positive
312.1299,0.786,0.702,0.394850443,positive
312.1301,2.601,0.793,0.270093421,positive
312.2162,5.201,0.667,-0.44501268,positive
312.2166,4.927,0.0325,-2.525886715,positive
312.2168,5.505,0.434,-0.817992634,positive
313.0848,2.276,0.276,1.159547159,positive
313.0853,3.183,0.45,0.79052724,positive
314.2327,5.619,0.907,-0.120607918,positive
316.1385,4.504,5.51E-06,9.492914988,positive
316.1938,5.631,0.506,-0.691989965,positive
316.248,5.914,0.857,0.1850403,positive
316.248,6.107,0.317,-1.058695403,positive
317.0855,0.773,0.64,-0.483327665,positive
318.1438,2.762,0.077,1.996771214,positive
318.1909,0.803,0.411,0.861656939,positive
318.191,3.368,0.866,-0.173080831,positive
318.2093,5.034,0.824,0.228343109,positive
319.1649,4.258,0.238,1.264494848,positive
319.165,3.812,0.499,0.703639967,positive
322.1811,5.096,0.518,0.67332202,positive
322.2005,4.899,0.93,0.090833072,positive
324.1249,2.964,0.308,-1.080791965,positive
324.1258,3.118,0.896,-0.13402318,positive
325.1697,5.177,0.557,0.609269187,positive
325.1883,3.576,0.673,0.436231567,positive
326.0869,2.134,0.665,0.447576251,positive
326.1962,5.293,7.96E-04,-4.945746233,positive
327.0685,0.734,0.00768,3.415734115,positive
328.1026,3.567,0.309,1.077559517,positive
328.1873,2.778,0.092,1.88575925,positive
328.2118,4.717,0.0716,-2.041398851,positive
328.2482,6.065,0.705,0.390413152,positive
328.248,6.21,0.961,0.049967179,positive
329.2074,3.337,0.382,-0.919097146,positive
330.1909,3.491,0.884,-0.149716841,positive
330.2272,4.126,0.421,-0.843909632,positive
330.2275,4.829,0.19,1.416791701,positive
331.2276,4.919,0.0645,-2.105490504,positive
331.2294,4.533,0.0404,-2.391744668,positive
336.2167,5.325,0.07,-2.055506745,positive
337.1754,3.847,0.579,0.575921699,positive
338.0825,3.449,0.836,0.213222274,positive
338.0863,0.805,0.517,-0.674955352,positive
338.0865,3.299,0.303,-1.091312719,positive
338.1399,3.076,0.378,0.927118175,positive
338.1737,6.007,0.238,-1.263833371,positive
338.1777,5.232,0.339,-1.009698828,positive
338.2323,5.729,0.911,0.115390475,positive
338.2324,5.637,0.319,-1.054523793,positive
340.1025,3.555,0.878,0.158132746,positive
340.1026,3.009,0.845,0.201421864,positive
340.1336,2.71,0.715,-0.377381786,positive
340.2479,6.162,0.488,-0.723250038,positive
341.1709,3.522,3.65E-04,5.532105041,positive
341.183,2.936,0.346,0.994385471,positive
341.1877,3.826,0.636,0.48980012,positive
342.1686,3.782,0.509,-0.687265519,positive
342.173,5.69,0.55,-0.620890261,positive
342.2635,6.518,0.241,-1.254958015,positive
343.1003,0.795,0.112,-1.758661477,positive
343.1674,2.639,0.453,0.784858956,positive
343.2227,4.522,0.559,0.606659931,positive
344.2066,4.021,0.419,0.846718619,positive
344.2431,4.284,0.889,0.143386737,positive
344.2542,4.012,0.414,-0.857327228,positive
346.2221,2.636,0.0415,-2.376703952,positive
349.0869,0.775,0.87,0.168675303,positive
350.0854,0.775,0.107,1.792017328,positive
350.2065,3.938,0.912,-0.113160002,positive
350.2322,5.809,0.692,0.408885231,positive
354.1544,3.176,0.193,-1.406601216,positive
355.2625,6.784,0.665,-0.447211125,positive
356.1907,4.001,0.75,-0.328663063,positive
356.2429,4.821,0.537,-0.642050164,positive
356.2429,5.382,0.615,-0.520983523,positive
356.2429,5.634,0.714,0.378476576,positive
357.1179,3.698,0.015,-2.999878877,positive
357.2786,5.926,0.895,-0.135721079,positive
357.2787,6.664,0.972,-0.035967432,positive
358.1496,4.728,0.812,0.244504319,positive
358.2585,4.768,0.582,-0.570244814,positive
358.2585,5.127,0.666,0.446175153,positive
358.2589,5.812,0.457,0.777793196,positive
363.1428,4.369,0.388,0.907198499,positive
364.0426,0.774,0.0485,2.280685779,positive
364.1964,4.526,0.0245,-2.698404459,positive
364.196,3.31,0.181,-1.450581165,positive
366.1108,0.7,0.327,-1.03575435,positive
366.1127,3.577,0.632,-0.496068537,positive
366.1134,3.129,0.39,-0.903425579,positive
366.2039,4.917,0.277,-1.156610084,positive
367.1497,0.741,0.0515,-2.244621372,positive
367.1498,2.362,0.0359,-2.464401235,positive
369.1289,3.506,0.787,0.278900441,positive
369.1292,3.953,0.778,0.290907408,positive
369.129,3.414,0.846,-0.200359844,positive
372.1861,3.381,0.305,-1.088714787,positive
373.1128,2.656,0.773,-0.297912354,positive
375.2614,3.928,0.714,0.378695861,positive
377.1448,3.492,0.69,-0.411888002,positive
378.1418,3.378,0.66,-0.455150911,positive
378.1755,4.358,0.0895,-1.90279515,positive
378.1767,3.465,0.929,-0.091315078,positive
380.1102,4.279,0.322,-1.046942348,positive
381.1534,4.397,0.181,1.449153963,positive
383.0941,2.983,0.139,1.624519652,positive
383.0946,0.768,0.791,-0.273676732,positive
383.133,0.792,0.0786,-1.983804458,positive
384.1146,2.579,0.0874,-1.917750362,positive
384.1171,0.716,0.442,-0.804620883,positive
384.1228,2.31,0.355,-0.975163632,positive
385.1464,0.793,0.0338,-2.50055683,positive
385.3097,5.886,0.171,-1.489576785,positive
389.1625,5.768,0.482,-0.732510481,positive
390.1393,3.49,0.0245,-2.696967543,positive
390.2632,6.892,0.368,0.946883959,positive
392.1549,3.207,0.0241,-2.706862751,positive
392.1549,3.682,0.127,-1.679610309,positive
394.0744,0.764,0.102,1.821857914,positive
394.1701,3.105,0.0192,-2.845482756,positive
394.1707,0.77,0.0838,-1.944060859,positive
395.1334,4.462,0.622,0.509792872,positive
398.1138,3.137,0.68,-0.425782812,positive
398.1421,3.384,0.246,1.241844701,positive
398.1452,4.007,0.271,1.17361633,positive
398.1823,5.89,0.706,0.389998682,positive
400.1973,6.231,0.56,0.605616432,positive
400.2173,3.807,0.257,-1.210403209,positive
400.269,4.886,0.134,1.647682535,positive
402.2845,4.888,0.145,1.597018609,positive
402.2846,5.623,0.483,0.731536505,positive
405.1518,6.25,0.5,-0.702555998,positive
406.1258,5.43,0.459,0.77432179,positive
410.0483,0.757,0.124,1.694493968,positive
410.1446,4.093,0.508,-0.689786504,positive
410.1459,4.445,0.387,-0.909248305,positive
412.2838,6.085,0.0961,1.858421209,positive
412.284,6.004,0.0868,1.921511399,positive
413.0425,3.484,0.679,0.428123323,positive
413.1052,2.633,0.507,-0.691374459,positive
413.1411,0.782,0.488,-0.722917332,positive
413.1413,2.988,0.0497,-2.266049887,positive
414.2998,5.934,0.182,-1.447638876,positive
414.2998,5.974,0.107,-1.792249486,positive
414.3361,5.556,0.115,1.747014414,positive
415.0333,3.007,0.12,1.720101981,positive
416.1472,3.465,0.377,0.929613305,positive
416.1915,4.419,0.507,0.691640172,positive
416.2124,3.558,0.487,-0.725493499,positive
416.3152,4.924,0.209,1.353570347,positive
416.3153,6.637,0.0857,1.929772491,positive
416.3517,5.027,0.0367,2.451663591,positive
418.1658,4.047,0.263,-1.194908684,positive
420.1268,2.836,0.555,-0.613708541,positive
420.1859,3.752,0.243,1.250348576,positive
420.1863,3.296,0.502,0.700119833,positive
422.2054,3.013,0.492,0.716919089,positive
424.1599,5.447,0.216,-1.331851194,positive
425.2145,9.778,0.252,-1.224271852,positive
429.1143,5.43,0.674,-0.435142686,positive
429.2112,4.041,0.0184,-2.87197737,positive
430.1728,4.485,0.37,0.943035112,positive
430.2032,5.342,0.661,-0.453993985,positive
430.2946,5.306,0.436,-0.81577663,positive
431.0964,3.273,1.08E-06,11.53199111,positive
431.0966,3.757,7.57E-07,12.02364683,positive
431.0972,4.035,1.19E-06,11.39656072,positive
432.1859,3.705,0.815,-0.241474484,positive
432.2483,2.831,0.391,-0.900971462,positive
432.3103,6.468,0.879,0.157245491,positive
432.3465,4.852,0.015,2.998047427,positive
433.1121,3.884,3.49E-07,13.16055893,positive
433.1123,3.32,1.50E-07,14.51491722,positive
433.2362,4.04,0.953,0.060756295,positive
434.1403,3.73,0.703,-0.394178025,positive
434.1523,3.477,0.366,-0.951050181,positive
434.1581,3.919,0.0821,1.956883678,positive
435.1282,4.891,1.09E-08,19.58100635,positive
436.1558,2.94,0.767,0.305302084,positive
436.1558,3.898,0.806,0.252602221,positive
436.1596,4.464,0.23,1.287635736,positive
436.1964,4.096,0.541,-0.635746734,positive
436.1971,4.541,0.0387,-2.419283316,positive
436.225,0.726,0.0631,-2.119691912,positive
438.1601,0.745,0.897,-0.132923574,positive
438.1606,2.865,0.376,0.931362285,positive
441.1613,0.696,0.0684,2.069750208,positive
444.1861,4.37,0.125,-1.691701881,positive
444.2226,4.583,0.827,0.224864431,positive
444.3097,5.039,0.106,1.794337386,positive
446.2388,3.483,0.663,0.450924023,positive
447.0916,4.229,3.51E-08,17.14649013,positive
447.113,3.587,0.913,-0.112821022,positive
448.1364,3.004,0.477,-0.742777136,positive
448.1967,3.611,0.362,0.960722829,positive
448.1978,4.334,0.525,-0.661887556,positive
448.2321,4.67,0.848,-0.197730688,positive
448.3052,5.404,0.415,0.855125607,positive
448.3055,6.562,0.448,0.793475758,positive
449.1046,3.633,1.15E-05,8.673591004,positive
449.1059,4.17,0.00235,4.186644318,positive
449.1076,4.454,0.023,2.737138471,positive
450.1364,0.798,0.879,0.157228257,positive
450.2125,4.913,0.238,-1.265392847,positive
450.2132,5.757,0.363,-0.957727004,positive
450.213,5.045,0.0568,-2.184036188,positive
452.1914,4.626,0.23,-1.287448086,positive
452.1914,4.683,0.0597,-2.153559253,positive
452.2062,5.052,0.658,0.457877403,positive
455.7883,4.34,0.923,-0.099409683,positive
457.2213,5.699,0.137,-1.631294399,positive
457.2496,6.911,0.473,-0.748358202,positive
458.1454,0.678,0.13,1.667710175,positive
458.202,4.658,0.708,0.386527036,positive
461.1074,3.814,8.22E-08,15.55522406,positive
461.1078,3.304,2.05E-08,18.23760052,positive
462.1965,5.965,0.497,-0.707361815,positive
464.1911,4.995,0.608,-0.532082751,positive
464.2272,0.798,0.377,0.928455046,positive
464.2281,3.182,0.715,0.376702838,positive
465.0856,4.069,0.48,0.736467006,positive
466.2058,4.763,0.194,-1.403617111,positive
468.2225,4.941,0.396,0.891216289,positive
469.2077,2.929,0.598,0.547229597,positive
470.2865,6.552,0.254,1.218750777,positive
474.1718,0.703,0.642,0.480284499,positive
475.2467,4.955,0.696,0.403934169,positive
478.2067,3.637,0.223,1.307723606,positive
480.2037,3.652,0.0342,2.494376938,positive
480.2234,4.382,0.396,-0.891117545,positive
482.1231,3.477,0.926,0.095415864,positive
484.2903,6.142,0.0177,-2.897573986,positive
486.2329,5.447,0.755,-0.322012662,positive
487.2086,3.066,0.351,0.982592521,positive
489.2311,4.429,0.0289,2.597303639,positive
491.2279,4.076,0.382,-0.919720971,positive
498.0952,3.472,0.402,0.878612844,positive
500.2812,6.002,0.177,1.466472194,positive
500.2849,5.194,0.774,-0.29658561,positive
501.2038,4.801,0.542,-0.634241654,positive
502.2964,5.697,0.185,1.433892893,positive
503.1571,3.796,0.654,-0.463108061,positive
504.1824,0.676,0.712,0.380720272,positive
504.2071,4.427,0.933,-0.086779531,positive
504.2224,3.279,0.455,-0.780403462,positive
504.2644,3.847,0.437,-0.813832775,positive
505.236,2.917,0.39,-0.902760701,positive
505.2371,0.816,0.263,-1.192990158,positive
508.28,2.988,0.984,0.020326297,positive
512.2857,6.504,0.839,-0.208639775,positive
514.2642,5.844,0.0115,3.163335299,positive
523.0001,5.152,0.326,-1.03766567,positive
526.2647,6.979,0.15,-1.574028499,positive
530.2018,4.016,0.992,-0.010141619,positive
530.3214,4.045,0.894,-0.137068672,positive
532.1906,0.792,0.213,1.341361912,positive
532.3526,10.707,0.748,0.331391081,positive
543.3195,5.303,0.336,1.015653129,positive
544.3373,4.266,0.534,0.646990094,positive
551.2103,2.591,0.22,1.318519842,positive
552.3496,5.214,0.176,-1.468390206,positive
553.2943,6.108,0.942,0.074405825,positive
555.3098,6.452,0.523,-0.664367769,positive
559.2603,7.463,0.813,0.243036678,positive
560.3058,5.064,0.131,-1.659327349,positive
562.2489,5.434,0.0923,-1.88364651,positive
565.2029,0.801,0.335,1.01846964,positive
567.1757,2.786,0.359,0.966313338,positive
572.2333,5.399,0.668,0.442837424,positive
574.2227,0.788,0.343,1.000271862,positive
575.2542,6.292,0.267,-1.18317349,positive
575.384,5.148,0.461,0.770707243,positive
576.1819,0.788,0.146,1.590091302,positive
579.2172,2.935,0.453,0.784983204,positive
579.3413,3.735,0.923,-0.099382351,positive
583.1477,2.876,0.216,1.331265036,positive
586.2128,3.002,0.451,-0.787248782,positive
588.3229,4.257,0.451,-0.788026761,positive
591.3167,5.042,0.0743,2.018758918,positive
592.3019,3.483,0.449,0.792155467,positive
593.3321,5.017,0.00409,3.820627284,positive
595.3478,5.049,0.0022,4.232659478,positive
603.4563,5.393,0.828,0.223191085,positive
605.3265,2.998,0.514,-0.679926394,positive
606.1346,2.583,0.294,-1.113923892,positive
606.2801,3.463,0.831,0.219323582,positive
61.0395,0.663,0.098,-1.845921485,positive
618.2905,3.277,0.458,0.775599316,positive
651.105,3.812,0.41,-0.864374993,positive
677.186,3.444,0.255,-1.214610491,positive
685.2837,4.555,0.842,0.205568678,positive
693.1579,3.427,0.794,0.268806429,positive
705.3808,3.85,0.225,1.303701905,positive
715.3756,3.922,0.658,0.458157167,positive
717.3914,3.919,0.778,0.29002239,positive
719.3713,3.228,0.447,0.794636157,positive
719.3715,3.54,0.452,0.78639555,positive
719.3726,3.874,0.452,0.785927591,positive
723.3228,3.019,0.454,0.782220919,positive
728.3715,3.305,0.201,-1.379459736,positive
731.4168,3.418,0.539,-0.638564985,positive
733.3859,3.912,0.455,-0.780860496,positive
755.1895,2.903,0.186,1.433001376,positive
755.19,3.465,0.0866,1.923532612,positive
76.0757,0.642,0.562,-0.601829111,positive
912.3994,3.075,0.36,0.963590238,positive